Субъекты РФ;Год;Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Добыча полезных ископаемых (млн. руб.);Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Обрабатывающие производства (млн. руб.);Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Производство и распределение электроэнергии, газа и воды (млн. руб.);"Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений (млн. руб.)"
Центральный федеральный округ;2005;76390;2587948;492032;
Белгородская область;2005;40390;101734;14706;
Брянская область;2005;136;36954;7848;
Владимирская область;2005;552;81952;12290;
Воронежская область;2005;988;76779;16246;
Ивановская область;2005;247;27398;11568;
Калужская область;2005;928;55376;12331;
Костромская область;2005;91;24827;13621;
Курская область;2005;21015;35524;23212;
Липецкая область;2005;1203;180855;16893;
Московская область;2005;3784;523215;91538;
Орловская область;2005;71;34782;8135;
Рязанская область;2005;616;53929;16108;
Смоленская область;2005;620;51398;23392;
Тамбовская область;2005;55.6;23070;6506;
Тверская область;2005;225;59322;22640;
Тульская область;2005;955;125102;18988;
Ярославская область;2005;372;93471;17189;
г. Москва;2005;4141;1002261;158824;
Северо-Западный федеральный округ;2005;187829;1096474;191670;
Республика Карелия;2005;20228;31303;9108;
Республика Коми;2005;78788;70478;16074;
Архангельская область;2005;43465;64488;14522;
в том числе: ;2005;0;0;0;
Ненецкий автономный округ;2005;41898;345;500;
Архангельская область без автономного округа;2005;1567;64143;14022;
Вологодская область;2005;163;213085;17218;
Калининградская область;2005;12487;61613;7612;
Ленинградская область;2005;4130;162570;31720;
Мурманская область;2005;27036;45558;23278;
Новгородская область;2005;181;52412;7545;
Псковская область;2005;92.3;22475;5045;
г. Санкт-Петербург;2005;1261;372491;59549;
Южный             федеральный округ;2005;45331;520501;108868;
Республика Адыгея;2005;568;5480;1935;
Республика Калмыкия;2005;1062;396;1312;
Республика Крым;2005;0;0;0;
Краснодарский край;2005;10226;139321;35416;
Астраханская область;2005;9504;21550;9869;
Волгоградская область;2005;16004;190585;25610;
Ростовская область;2005;7968;163170;34726;
г. Севастополь;2005;0;0;0;
Северо-Кавказский        федеральный округ;2005;8686;91706;50922;
Республика Дагестан;2005;2680;10546;4411;
Республика Ингушетия;2005;643;189;227;
Кабардино-Балкарская Республика;2005;74.4;9110;2854;
Карачаево-Черкесская Республика;2005;543;7490;3317;
Республика Северная Осетия - Алания;2005;145;14035;2593;
Чеченская Республика;2005;0;0;0;
Ставропольский край;2005;4601;50335;37521;
Приволжский федеральный округ;2005;531234;2120016;378245;
Республика Башкортостан;2005;66864;366255;35435;
Республика Марий Эл;2005;79.7;20157;5575;
Республика Мордовия;2005;63;39544;7639;
Республика Татарстан;2005;197226;261113;41495;
Удмуртская Республика;2005;46128;69373;12959;
Чувашская Республика;2005;180;48071;11524;
Пермский край;2005;60873;274132;66146;
Кировская область;2005;208;51029;14548;
Нижегородская область ;2005;346;334850;37885;
Оренбургская область;2005;89821;105243;33304;
Пензенская область;2005;740;37202;9751;
Самарская область;2005;55566;376301;55790;
Саратовская область;2005;10075;78374;34637;
Ульяновская область;2005;3064;58372;11558;
Уральский         федеральный округ;2005;1698324;1193848;212640;
Курганская область;2005;306;24593;7921;
Свердловская область ;2005;34106;470694;61591;
Тюменская область;2005;1656325;300769;108962;
в том числе:;2005;0;0;0;
Ханты-Мансийский автономный округ - Югра;2005;1285302;45961;81425;
Ямало-Ненецкий автономный округ;2005;364787;27073;13366;
Тюменская область  без автономных округов;2005;6237;227735;14171;
Челябинская область;2005;7587;397792;34165;
Сибирский        федеральный округ;2005;317887;1130859;240201;
Республика Алтай;2005;283;460;609;
Республика Тыва;2005;6364;18997;12478;
Республика Хакасия;2005;1014;427;795;
Алтайский край;2005;6770;22819;7883;
Красноярский край;2005;461;70382;21777;
Иркутская область;2005;8994;5136;10891;
Кемеровская область;2005;26470;303894;42463;
Новосибирская область ;2005;17106;158265;29019;
Омская область;2005;161231;185574;44851;
Томская область;2005;13369;93955;36436;
Дальневосточный федеральный округ;2005;3813;224305;19231;
Республика Бурятия;2005;72011;46645;13769;
Республика Саха (Якутия);2005;196777;130623;104935;
Забайкальский край;2005;112305;14066;18410;
Камчатский край;2005;2556;8628;9663;
Приморский край;2005;6489;36366;25973;
Хабаровский край ;2005;13917;45204;21087;
Амурская область;2005;7942;8640;15233;
Магаданская область;2005;14883;2748;3979;
Сахалинская область;2005;35817;11802;6840;
Еврейская автономная область;2005;220;2326;817;
Чукотский автономный округ;2005;2648;843;2931;
Центральный федеральный округ;2006;184869;3428776;697105;
Белгородская область;2006;41102;136649;17033;
Брянская область;2006;142;46796;8145;
Владимирская область;2006;750;99361;15453;
Воронежская область;2006;1477;89883;20880;
Ивановская область;2006;364;33667;14348;
Калужская область;2006;1170;67938;9113;
Костромская область;2006;91.4;34066;16135;
Курская область;2006;21934;43204;25353;
Липецкая область;2006;1972;219488;14347;
Московская область;2006;5215;625949;105960;
Орловская область;2006;66.6;40798;6887;
Рязанская область;2006;688;65181;19137;
Смоленская область;2006;685;58954;26771;
Тамбовская область;2006;34.5;26668;6834;
Тверская область;2006;469;73050;32759;
Тульская область;2006;1265;144827;23576;
Ярославская область;2006;368;102701;19541;
г. Москва;2006;107079;1519597;314834;
Северо-Западный федеральный округ;2006;214479;1309058;213953;
Республика Карелия;2006;17315;36610;10087;
Республика Коми;2006;95499;82225;23098;
Архангельская область;2006;51683;58912;20795;
в том числе: ;2006;0;0;0;
Ненецкий автономный округ;2006;50636;427;668;
Архангельская область без автономного округа;2006;1047;58485;20127;
Вологодская область;2006;207;236960;20246;
Калининградская область;2006;12829;106265;9285;
Ленинградская область;2006;5912;205677;36580;
Мурманская область;2006;29477;54700;23039;
Новгородская область;2006;245;59270;8397;
Псковская область;2006;137;26226;5657;
г. Санкт-Петербург;2006;1176;442213;56769;
Южный             федеральный округ;2006;56939;633118;121567;
Республика Адыгея;2006;603;6366;1899;
Республика Калмыкия;2006;819;472;1414;
Республика Крым;2006;0;0;0;
Краснодарский край;2006;13610;178197;39048;
Астраханская область;2006;13371;24040;8155;
Волгоградская область;2006;18701;232831;28490;
Ростовская область;2006;9835;191212;42561;
г. Севастополь;2006;0;0;0;
Северо-Кавказский        федеральный округ;2006;10607;105976;49189;
Республика Дагестан;2006;2331;11856;5111;
Республика Ингушетия;2006;560;328;351;
Кабардино-Балкарская Республика;2006;94.3;9818;3459;
Карачаево-Черкесская Республика;2006;822;7171;3434;
Республика Северная Осетия - Алания;2006;360;17056;3769;
Чеченская Республика;2006;0;0;0;
Ставропольский край;2006;6440;59747;33065;
Приволжский федеральный округ;2006;668803;2582668;426364;
Республика Башкортостан;2006;88648;413858;49242;
Республика Марий Эл;2006;107;29078;6167;
Республика Мордовия;2006;59.7;48727;8879;
Республика Татарстан;2006;203086;364382;44887;
Удмуртская Республика;2006;55195;88026;16729;
Чувашская Республика;2006;196;59885;14212;
Пермский край;2006;72368;311569;57812;
Кировская область;2006;216;62154;19273;
Нижегородская область ;2006;523;424301;42565;
Оренбургская область;2006;162966;118693;41118;
Пензенская область;2006;897;44192;11848;
Самарская область;2006;70031;454157;55316;
Саратовская область;2006;11071;92991;45177;
Ульяновская область;2006;3441;70656;13139;
Уральский         федеральный округ;2006;2026807;1549378;278692;
Курганская область;2006;511;32589;8546;
Свердловская область ;2006;37894;602507;83638;
Тюменская область;2006;1978788;416889;141491;
в том числе:;2006;0;0;0;
Ханты-Мансийский автономный округ - Югра;2006;1511714;64709;105267;
Ямало-Ненецкий автономный округ;2006;459580;34582;19192;
Тюменская область  без автономных округов;2006;7494;317598;17032;
Челябинская область;2006;9613;497392;45017;
Сибирский        федеральный округ;2006;328836;1432347;288657;
Республика Алтай;2006;320;762;929;
Республика Тыва;2006;5792;19963;12889;
Республика Хакасия;2006;1248;606;860;
Алтайский край;2006;8230;30418;10797;
Красноярский край;2006;969;91823;23693;
Иркутская область;2006;10820;6870;11848;
Кемеровская область;2006;29105;429588;56565;
Новосибирская область ;2006;19153;205757;40306;
Омская область;2006;160620;205389;51030;
Томская область;2006;15782;123037;42562;
Дальневосточный федеральный округ;2006;5402;254951;21122;
Республика Бурятия;2006;71393;63182;16054;
Республика Саха (Якутия);2006;229548;144054;123161;
Забайкальский край;2006;119451;10965;22007;
Камчатский край;2006;2687;8659;12224;
Приморский край;2006;7126;42464;29698;
Хабаровский край ;2006;14507;53472;23857;
Амурская область;2006;9577;9620;16664;
Магаданская область;2006;14755;2518;5079;
Сахалинская область;2006;57863;12865;8694;
Еврейская автономная область;2006;187;2508;962;
Чукотский автономный округ;2006;3395;984;3975;
Центральный федеральный округ;2007;541418;4431493;640395;
Белгородская область;2007;56923;191798;16144;
Брянская область;2007;160;59920;8010;
Владимирская область;2007;1149;144721;13835;
Воронежская область;2007;2024;109969;20814;
Ивановская область;2007;458;44112;14148;
Калужская область;2007;1414;91071;7666;
Костромская область;2007;160;50948;16441;
Курская область;2007;26158;58246;28592;
Липецкая область;2007;3408;253262;13234;
Московская область;2007;7497;908782;106007;
Орловская область;2007;121;47795;8621;
Рязанская область;2007;1056;85367;19273;
Смоленская область;2007;851;75328;27864;
Тамбовская область;2007;101;39039;6872;
Тверская область;2007;521;90524;37214;
Тульская область;2007;1820;189131;23970;
Ярославская область;2007;440;139835;17812;
г. Москва;2007;437158;1851644;253879;
Северо-Западный федеральный округ;2007;250796;1622577;257644;
Республика Карелия;2007;22627;44273;9983;
Республика Коми;2007;91248;86494;20576;
Архангельская область;2007;78514;68047;18929;
в том числе: ;2007;0;0;0;
Ненецкий автономный округ;2007;77581;498;717;
Архангельская область без автономного округа;2007;933;67549;18212;
Вологодская область;2007;259;292700;20023;
Калининградская область;2007;13800;164536;11654;
Ленинградская область;2007;7461;244352;42783;
Мурманская область;2007;35362;64201;25805;
Новгородская область;2007;186;73162;6754;
Псковская область;2007;271;34817;5903;
г. Санкт-Петербург;2007;1070;549995;95233;
Южный             федеральный округ;2007;60989;816560;127445;
Республика Адыгея;2007;803;8420;1573;
Республика Калмыкия;2007;753;499;1029;
Республика Крым;2007;0;0;0;
Краснодарский край;2007;10080;242425;49614;
Астраханская область;2007;13687;29939;8323;
Волгоградская область;2007;20812;280312;26305;
Ростовская область;2007;14854;254965;40601;
г. Севастополь;2007;0;0;0;
Северо-Кавказский        федеральный округ;2007;14556;138445;51336;
Республика Дагестан;2007;2717;15717;5743;
Республика Ингушетия;2007;409;346;390;
Кабардино-Балкарская Республика;2007;121;11403;4427;
Карачаево-Черкесская Республика;2007;920;9227;3020;
Республика Северная Осетия - Алания;2007;383;20859;4663;
Чеченская Республика;2007;5462;855;2161;
Ставропольский край;2007;4544;80039;30931;
Приволжский федеральный округ;2007;745444;3181616;422260;
Республика Башкортостан;2007;100319;450258;45780;
Республика Марий Эл;2007;143;41938;5011;
Республика Мордовия;2007;182;70793;8195;
Республика Татарстан;2007;232786;469758;55644;
Удмуртская Республика;2007;72067;111966;16212;
Чувашская Республика;2007;260;83812;10858;
Пермский край;2007;79213;400123;53264;
Кировская область;2007;313;76561;17304;
Нижегородская область ;2007;840;556493;40829;
Оренбургская область;2007;163171;147790;48128;
Пензенская область;2007;1115;58308;9593;
Самарская область;2007;77380;495259;56643;
Саратовская область;2007;13716;125971;43594;
Ульяновская область;2007;3940;92585;11206;
Уральский         федеральный округ;2007;2098437;1930170;278843;
Курганская область;2007;844;41721;8096;
Свердловская область ;2007;49355;746141;100586;
Тюменская область;2007;2035408;481550;123336;
в том числе:;2007;0;0;0;
Ханты-Мансийский автономный округ - Югра;2007;1562900;93547;80445;
Ямало-Ненецкий автономный округ;2007;464564;39123;23107;
Тюменская область  без автономных округов;2007;7944;348880;19784;
Челябинская область;2007;12830;660758;46825;
Сибирский        федеральный округ;2007;406401;1679184;272769;
Республика Алтай;2007;405;1051;828;
Республика Тыва;2007;4943;23844;10746;
Республика Хакасия;2007;1425;688;1253;
Алтайский край;2007;8910;41937;9307;
Красноярский край;2007;2238;108789;19258;
Иркутская область;2007;13330;8133;10416;
Кемеровская область;2007;35344;524538;52348;
Новосибирская область ;2007;30126;206267;41852;
Омская область;2007;208671;246246;57402;
Томская область;2007;20821;148447;33915;
Дальневосточный федеральный округ;2007;3623;301403;21460;
Республика Бурятия;2007;76565;67841;13984;
Республика Саха (Якутия);2007;370874;177732;131752;
Забайкальский край;2007;116077;12581;25138;
Камчатский край;2007;4494;10215;13464;
Приморский край;2007;7209;48893;31408;
Хабаровский край ;2007;16397;72257;24291;
Амурская область;2007;10649;11344;16758;
Магаданская область;2007;13718;2656;5638;
Сахалинская область;2007;198687;16168;9369;
Еврейская автономная область;2007;453;3176;1554;
Чукотский автономный округ;2007;3190;442;4133;
Центральный федеральный округ;2008;590703;5304670;761655;
Белгородская область;2008;62221;270781;17132;
Брянская область;2008;158;72687;9274;
Владимирская область;2008;1672;160853;17246;
Воронежская область;2008;2816;139869;27017;
Ивановская область;2008;676;54707;16125;
Калужская область;2008;2236;151481;9189;
Костромская область;2008;230;63379;20891;
Курская область;2008;33709;69999;34961;
Липецкая область;2008;4124;317543;16667;
Московская область;2008;11931;1069303;136929;
Орловская область;2008;130;49613;7347;
Рязанская область;2008;1239;105334;23401;
Смоленская область;2008;1306;86744;35850;
Тамбовская область;2008;82.4;43779;8998;
Тверская область;2008;822;119022;42660;
Тульская область;2008;2678;246030;24608;
Ярославская область;2008;637;154084;21309;
г. Москва;2008;464034;2129463;292051;
Северо-Западный федеральный округ;2008;333354;2018453;272304;
Республика Карелия;2008;27768;47893;11081;
Республика Коми;2008;125954;88213;24316;
Архангельская область;2008;90815;86748;20999;
в том числе: ;2008;0;0;0;
Ненецкий автономный округ;2008;88966;573;927;
Архангельская область без автономного округа;2008;1849;86175;20072;
Вологодская область;2008;312;375167;21750;
Калининградская область;2008;15106;193985;13974;
Ленинградская область;2008;11000;315967;52397;
Мурманская область;2008;60270;50921;30184;
Новгородская область;2008;338;97937;8301;
Псковская область;2008;409;40507;6424;
г. Санкт-Петербург;2008;1381;721113;82880;
Южный             федеральный округ;2008;71021;1064262;155924;
Республика Адыгея;2008;1945;12125;1851;
Республика Калмыкия;2008;676;866;1128;
Республика Крым;2008;0;0;0;
Краснодарский край;2008;13300;284076;61992;
Астраханская область;2008;9319;67243;8130;
Волгоградская область;2008;23400;364525;31709;
Ростовская область;2008;22381;335426;51114;
г. Севастополь;2008;0;0;0;
Северо-Кавказский        федеральный округ;2008;15434;169845;66123;
Республика Дагестан;2008;2235;16949;8349;
Республика Ингушетия;2008;395;334;536;
Кабардино-Балкарская Республика;2008;118;16533;5183;
Карачаево-Черкесская Республика;2008;1139;11722;3626;
Республика Северная Осетия - Алания;2008;367;17598;3486;
Чеченская Республика;2008;4951;1200;2909;
Ставропольский край;2008;6228;105509;42034;
Приволжский федеральный округ;2008;860060;3885409;507734;
Республика Башкортостан;2008;121796;536508;51786;
Республика Марий Эл;2008;291;50927;5829;
Республика Мордовия;2008;188;80856;6667;
Республика Татарстан;2008;268193;598467;66223;
Удмуртская Республика;2008;83775;123799;19368;
Чувашская Республика;2008;401;123335;14924;
Пермский край;2008;90844;567313;66240;
Кировская область;2008;463;97820;20976;
Нижегородская область ;2008;1087;639123;51711;
Оренбургская область;2008;180118;168113;52498;
Пензенская область;2008;1222;74423;10781;
Самарская область;2008;91841;560942;64151;
Саратовская область;2008;15171;159588;62869;
Ульяновская область;2008;4671;104196;13710;
Уральский         федеральный округ;2008;2396131;2319347;335824;
Курганская область;2008;1152;50642;9927;
Свердловская область ;2008;54595;823496;109889;
Тюменская область;2008;2323781;656210;154597;
в том числе:;2008;0;0;0;
Ханты-Мансийский автономный округ - Югра;2008;1755504;142655;101634;
Ямало-Ненецкий автономный округ;2008;559252;46039;26579;
Тюменская область  без автономных округов;2008;9025;467516;26385;
Челябинская область;2008;16603;788999;61411;
Сибирский        федеральный округ;2008;569596;1866857;330033;
Республика Алтай;2008;494;1082;1013;
Республика Тыва;2008;12225;29314;11978;
Республика Хакасия;2008;1885;436;1919;
Алтайский край;2008;10925;43561;13474;
Красноярский край;2008;3095;154664;23896;
Иркутская область;2008;17098;9955;12149;
Кемеровская область;2008;46537;457206;64816;
Новосибирская область ;2008;34376;227549;48036;
Омская область;2008;312055;314105;64074;
Томская область;2008;37441;176438;42517;
Дальневосточный федеральный округ;2008;3548;381956;26616;
Республика Бурятия;2008;89916;70590;19545;
Республика Саха (Якутия);2008;435432;234771;143392;
Забайкальский край;2008;136023;15065;27401;
Камчатский край;2008;4567;11219;12670;
Приморский край;2008;6916;63647;32673;
Хабаровский край ;2008;19118;104731;28754;
Амурская область;2008;15132;14032;17634;
Магаданская область;2008;15757;2884;6397;
Сахалинская область;2008;217105;18888;10413;
Еврейская автономная область;2008;308;3817;1985;
Чукотский автономный округ;2008;20506;488;5464;
Центральный федеральный округ;2009;548343;4483283;920480;
Белгородская область;2009;35375;241638;18758;
Брянская область;2009;172;57848;10540;
Владимирская область;2009;1303;142252;20017;
Воронежская область;2009;2865;132503;34451;
Ивановская область;2009;429;49501;18128;
Калужская область;2009;1652;153673;14980;
Костромская область;2009;146;49822;21175;
Курская область;2009;16707;70859;44433;
Липецкая область;2009;3084;228463;17952;
Московская область;2009;9612;1032253;181525;
Орловская область;2009;93.2;40435;8236;
Рязанская область;2009;940;96548;25243;
Смоленская область;2009;950;80049;44413;
Тамбовская область;2009;195;46862;9748;
Тверская область;2009;384;103601;48213;
Тульская область;2009;1895;190036;26831;
Ярославская область;2009;494;128661;24241;
г. Москва;2009;472047;1638278;351595;
Северо-Западный федеральный округ;2009;356524;2062554;330780;
Республика Карелия;2009;17030;40963;13194;
Республика Коми;2009;127254;87279;30123;
Архангельская область;2009;141694;62539;24662;
в том числе: ;2009;0;0;0;
Ненецкий автономный округ;2009;139683;802;1384;
Архангельская область без автономного округа;2009;2011;61737;23278;
Вологодская область;2009;288;235523;24061;
Калининградская область;2009;13290;157168;15193;
Ленинградская область;2009;8447;318178;64825;
Мурманская область;2009;46719;52570;36155;
Новгородская область;2009;547;80262;9942;
Псковская область;2009;453;33981;7675;
г. Санкт-Петербург;2009;801;994090;104951;
Южный             федеральный округ;2009;68996;867120;184759;
Республика Адыгея;2009;816;13083;1662;
Республика Калмыкия;2009;923;957;1622;
Республика Крым;2009;0;0;0;
Краснодарский край;2009;13581;263229;73786;
Астраханская область;2009;18548;33631;10790;
Волгоградская область;2009;22995;293914;41187;
Ростовская область;2009;12133;262304;55711;
г. Севастополь;2009;0;0;0;
Северо-Кавказский        федеральный округ;2009;14007;175010;77716;
Республика Дагестан;2009;2068;19992;11402;
Республика Ингушетия;2009;380;401;721;
Кабардино-Балкарская Республика;2009;224;17841;6872;
Карачаево-Черкесская Республика;2009;1095;11388;4462;
Республика Северная Осетия - Алания;2009;319;11396;6685;
Чеченская Республика;2009;4152;813;3984;
Ставропольский край;2009;5769;113179;43592;
Приволжский федеральный округ;2009;811342;3142023;576193;
Республика Башкортостан;2009;72203;481033;57923;
Республика Марий Эл;2009;215;46595;7510;
Республика Мордовия;2009;164;64907;7772;
Республика Татарстан;2009;281542;504914;81105;
Удмуртская Республика;2009;74725;105247;21962;
Чувашская Республика;2009;244;89666;18125;
Пермский край;2009;87231;442701;69337;
Кировская область;2009;470;77064;21531;
Нижегородская область ;2009;730;533173;67536;
Оренбургская область;2009;185875;117413;55937;
Пензенская область;2009;1000;73490;13264;
Самарская область;2009;90557;393269;69309;
Саратовская область;2009;12185;130222;67527;
Ульяновская область;2009;4199;82329;17356;
Уральский         федеральный округ;2009;2246862;1786505;387384;
Курганская область;2009;1186;39211;12038;
Свердловская область ;2009;39051;647765;119177;
Тюменская область;2009;2192210;568902;196387;
в том числе:;2009;0;0;0;
Ханты-Мансийский автономный округ - Югра;2009;1674428;123720;132870;
Ямало-Ненецкий автономный округ;2009;498136;61100;31426;
Тюменская область  без автономных округов;2009;19646;384081;32091;
Челябинская область;2009;14416;530627;59782;
Сибирский        федеральный округ;2009;550757;1630742;380562;
Республика Алтай;2009;541;1172;1281;
Республика Тыва;2009;14661;31817;12768;
Республика Хакасия;2009;2128;640;2215;
Алтайский край;2009;13679;39570;16216;
Красноярский край;2009;3383;118002;26748;
Иркутская область;2009;20270;8098;13893;
Кемеровская область;2009;85992;419735;76587;
Новосибирская область ;2009;40988;213086;60271;
Омская область;2009;258324;219491;69610;
Томская область;2009;27079;168754;51580;
Дальневосточный федеральный округ;2009;964;342654;29919;
Республика Бурятия;2009;82748;67722;19474;
Республика Саха (Якутия);2009;494142;204749;172291;
Забайкальский край;2009;109235;15135;33367;
Камчатский край;2009;5169;13129;12874;
Приморский край;2009;8021;72261;41323;
Хабаровский край ;2009;22804;60841;33902;
Амурская область;2009;23995;15097;21774;
Магаданская область;2009;20871;2796;7392;
Сахалинская область;2009;267746;22235;12223;
Еврейская автономная область;2009;216;2840;2287;
Чукотский автономный округ;2009;36086;414;7150;
Центральный федеральный округ;2010;623877;5726918;1156520;
Белгородская область;2010;73704;319536;22525;
Брянская область;2010;248;73863;12959;
Владимирская область;2010;1517;189370;22523;
Воронежская область;2010;2737;175892;42016;
Ивановская область;2010;596;70363;24728;
Калужская область;2010;2001;281124;13024;
Костромская область;2010;185;70201;24703;
Курская область;2010;38473;82608;54343;
Липецкая область;2010;3046;303619;22716;
Московская область;2010;7184;1241243;243277;
Орловская область;2010;89.9;53966;9690;
Рязанская область;2010;1527;129847;29031;
Смоленская область;2010;1104;105017;53812;
Тамбовская область;2010;97.8;50413;10714;
Тверская область;2010;922;124106;59476;
Тульская область;2010;1810;243146;33875;
Ярославская область;2010;581;162944;27718;
г. Москва;2010;488055;2049658;449391;
Северо-Западный федеральный округ;2010;444036;2719389;397412;
Республика Карелия;2010;35188;51969;16453;
Республика Коми;2010;166406;100923;34421;
Архангельская область;2010;155734;98362;28727;
в том числе: ;2010;0;0;0;
Ненецкий автономный округ;2010;153567;1150;1692;
Архангельская область без автономного округа;2010;2167;97212;27035;
Вологодская область;2010;349;319956;29537;
Калининградская область;2010;13034;216767;18293;
Ленинградская область;2010;8314;376894;77932;
Мурманская область;2010;62384;88593;43398;
Новгородская область;2010;626;99845;11480;
Псковская область;2010;278;47186;9361;
г. Санкт-Петербург;2010;1722;1318896;127811;
Южный             федеральный округ;2010;85290;1137396;216433;
Республика Адыгея;2010;705;18125;1490;
Республика Калмыкия;2010;1527;1131;1862;
Республика Крым;2010;0;0;0;
Краснодарский край;2010;17080;341187;84354;
Астраханская область;2010;22508;40938;13238;
Волгоградская область;2010;29847;384317;47922;
Ростовская область;2010;13623;351699;67567;
г. Севастополь;2010;0;0;0;
Северо-Кавказский        федеральный округ;2010;15357;212854;88778;
Республика Дагестан;2010;2426;16601;14167;
Республика Ингушетия;2010;392;455;1328;
Кабардино-Балкарская Республика;2010;126;22267;8394;
Карачаево-Черкесская Республика;2010;1524;17284;5235;
Республика Северная Осетия - Алания;2010;407;14003;4853;
Чеченская Республика;2010;4053;4703;4283;
Ставропольский край;2010;6429;137541;50518;
Приволжский федеральный округ;2010;945046;4137162;703033;
Республика Башкортостан;2010;93809;667879;72571;
Республика Марий Эл;2010;218;62551;8729;
Республика Мордовия;2010;156;85372;9566;
Республика Татарстан;2010;307284;672165;90876;
Удмуртская Республика;2010;86187;128219;24567;
Чувашская Республика;2010;358;106128;21676;
Пермский край;2010;111410;548696;79829;
Кировская область;2010;569;101916;25798;
Нижегородская область ;2010;802;699109;79810;
Оренбургская область;2010;215311;151634;81503;
Пензенская область;2010;1359;84150;14497;
Самарская область;2010;108290;549311;87391;
Саратовская область;2010;14205;168256;82064;
Ульяновская область;2010;5089;111776;24155;
Уральский         федеральный округ;2010;2525077;2475835;463867;
Курганская область;2010;1582;53376;16902;
Свердловская область ;2010;61206;902605;141380;
Тюменская область;2010;2444036;751271;232376;
в том числе:;2010;0;0;0;
Ханты-Мансийский автономный округ - Югра;2010;1852415;158286;163049;
Ямало-Ненецкий автономный округ;2010;558134;71151;32847;
Тюменская область  без автономных округов;2010;33486;521834;36480;
Челябинская область;2010;18253;768584;73209;
Сибирский        федеральный округ;2010;877031;2162010;440529;
Республика Алтай;2010;509;1597;1637;
Республика Тыва;2010;9269;40081;15558;
