Субъекты РФ;Год;Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Добыча полезных ископаемых (млн. руб.);Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Обрабатывающие производства (млн. руб.);Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Производство и распределение электроэнергии, газа и воды (млн. руб.);"Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений (млн. руб.)"
Республика Хакасия;2010;3011;769;2860;
Алтайский край;2010;20857;50947;13689;
Красноярский край;2010;4403;168752;31794;
Иркутская область;2010;39001;11385;14713;
Кемеровская область;2010;240571;571329;86045;
Новосибирская область ;2010;68817;272410;77346;
Омская область;2010;377514;309471;80869;
Томская область;2010;16455;229324;59332;
Дальневосточный федеральный округ;2010;4784;409133;33713;
Республика Бурятия;2010;91842;96814;22972;
Республика Саха (Якутия);2010;702239;309172;198707;
Забайкальский край;2010;214206;24515;37946;
Камчатский край;2010;6326;37350;14948;
Приморский край;2010;10656;104562;47025;
Хабаровский край ;2010;25291;93965;39891;
Амурская область;2010;26599;18568;26935;
Магаданская область;2010;29546;2921;8183;
Сахалинская область;2010;353836;23694;13965;
Еврейская автономная область;2010;286;2998;2866;
Чукотский автономный округ;2010;35494;599;6950;
Центральный федеральный округ;2011;833562;6764832;1392745;
Белгородская область;2011;110158;369161;25058;
Брянская область;2011;370;91982;14010;
Владимирская область;2011;1632;222325;26368;
Воронежская область;2011;3100;228302;42596;
Ивановская область;2011;664;73821;25071;
Калужская область;2011;1530;356188;15088;
Костромская область;2011;254;81591;29461;
Курская область;2011;53257;94857;55638;
Липецкая область;2011;3655;355824;26349;
Московская область;2011;7456;1425058;306841;
Орловская область;2011;182;66442;13674;
Рязанская область;2011;1806;148009;33583;
Смоленская область;2011;1270;121947;45821;
Тамбовская область;2011;96.9;80490;11941;
Тверская область;2011;1343;142949;62821;
Тульская область;2011;2310;308752;34306;
Ярославская область;2011;1433;191968;30340;
г. Москва;2011;643044;2405167;593779;
Северо-Западный федеральный округ;2011;544018;3427815;458889;
Республика Карелия;2011;51772;56072;17977;
Республика Коми;2011;204529;135497;35958;
Архангельская область;2011;174092;101947;30895;
в том числе: ;2011;0;0;0;
Ненецкий автономный округ;2011;171225;848;1842;
Архангельская область без автономного округа;2011;2866;101099;29053;
Вологодская область;2011;359;400082;27596;
Калининградская область;2011;16594;275795;25112;
Ленинградская область;2011;9384;449543;103228;
Мурманская область;2011;82722;87229;48568;
Новгородская область;2011;959;119362;11682;
Псковская область;2011;441;61752;10460;
г. Санкт-Петербург;2011;3165;1740536;147414;
Южный             федеральный округ;2011;109798;1333935;260536;
Республика Адыгея;2011;907;20718;1698;
Республика Калмыкия;2011;1705;1171;2155;
Республика Крым;2011;0;0;0;
Краснодарский край;2011;18334;385870;98677;
Астраханская область;2011;32246;47863;15615;
Волгоградская область;2011;39243;441571;54424;
Ростовская область;2011;17364;436742;87967;
г. Севастополь;2011;0;0;0;
Северо-Кавказский        федеральный округ;2011;16974;255379;103048;
Республика Дагестан;2011;2898;24808;14072;
Республика Ингушетия;2011;775;1094;1578;
Кабардино-Балкарская Республика;2011;109;27704;10227;
Карачаево-Черкесская Республика;2011;1615;23424;5232;
Республика Северная Осетия - Алания;2011;326;15522;7129;
Чеченская Республика;2011;4405;1646;4585;
Ставропольский край;2011;6845;161181;60226;
Приволжский федеральный округ;2011;1245956;5163857;788337;
Республика Башкортостан;2011;117016;824214;88506;
Республика Марий Эл;2011;281;72786;10067;
Республика Мордовия;2011;237;88601;10509;
Республика Татарстан;2011;373952;864115;107240;
Удмуртская Республика;2011;113253;158015;28646;
Чувашская Республика;2011;484;114603;21909;
Пермский край;2011;184063;732429;89355;
Кировская область;2011;681;129040;28800;
Нижегородская область ;2011;1597;873575;84439;
Оренбургская область;2011;282235;174977;96823;
Пензенская область;2011;1605;99663;17663;
Самарская область;2011;145226;689251;98420;
Саратовская область;2011;18191;208323;81174;
Ульяновская область;2011;7135;134265;24784;
Уральский         федеральный округ;2011;3155976;2987202;519743;
Курганская область;2011;1846;60016;18663;
Свердловская область ;2011;70638;1094825;170797;
Тюменская область;2011;3060890;906594;249728;
в том числе:;2011;0;0;0;
Ханты-Мансийский автономный округ - Югра;2011;2332816;108903;172588;
Ямало-Ненецкий автономный округ;2011;671459;97675;35527;
Тюменская область  без автономных округов;2011;56615;700016;41613;
Челябинская область;2011;22603;925767;80554;
Сибирский        федеральный округ;2011;1145090;2516797;481990;
Республика Алтай;2011;862;1296;1654;
Республика Тыва;2011;12808;51115;19826;
Республика Хакасия;2011;3376;514;2868;
Алтайский край;2011;26536;56595;21462;
Красноярский край;2011;6041;189279;31991;
Иркутская область;2011;40377;14365;18311;
Кемеровская область;2011;266636;628113;95432;
Новосибирская область ;2011;129795;299406;81275;
Омская область;2011;507993;385413;85949;
Томская область;2011;19674;249816;61592;
Дальневосточный федеральный округ;2011;4411;529355;36013;
Республика Бурятия;2011;126582;111529;25617;
Республика Саха (Якутия);2011;968843;363462;213850;
Забайкальский край;2011;285757;28002;42849;
Камчатский край;2011;6439;39742;15370;
Приморский край;2011;14195;127103;51397;
Хабаровский край ;2011;29187;115875;44320;
Амурская область;2011;49973;20829;25889;
Магаданская область;2011;41815;3899;9705;
Сахалинская область;2011;502527;24193;16183;
Еврейская автономная область;2011;402;3073;2500;
Чукотский автономный округ;2011;38547;744;5637;
Центральный федеральный округ;2012;892151;7455335;1298228;
Белгородская область;2012;94390;409330;25259;
Брянская область;2012;409;110055;14102;
Владимирская область;2012;2143;244800;28155;
Воронежская область;2012;5618;250019;47265;
Ивановская область;2012;740;82750;25238;
Калужская область;2012;1616;420364;16812;
Костромская область;2012;233;96283;30807;
Курская область;2012;48979;104612;51342;
Липецкая область;2012;5140;382979;26035;
Московская область;2012;8514;1528670;262031;
Орловская область;2012;288;70810;13668;
Рязанская область;2012;2237;173419;33277;
Смоленская область;2012;1777;129460;46344;
Тамбовская область;2012;115;83331;13264;
Тверская область;2012;1961;165889;69644;
Тульская область;2012;3569;327597;35501;
Ярославская область;2012;1086;219859;30570;
г. Москва;2012;713336;2655111;528916;
Северо-Западный федеральный округ;2012;580608;3891769;473141;
Республика Карелия;2012;48762;54158;19825;
Республика Коми;2012;237306;147305;36423;
Архангельская область;2012;178971;119015;32406;
в том числе: ;2012;0;0;0;
Ненецкий автономный округ;2012;176814;1154;2078;
Архангельская область без автономного округа;2012;2157;117861;30328;
Вологодская область;2012;437;388255;30941;
Калининградская область;2012;17128;325691;20322;
Ленинградская область;2012;15531;504378;106698;
Мурманская область;2012;78944;96299;52005;
Новгородская область;2012;1106;124884;13172;
Псковская область;2012;656;62390;10423;
г. Санкт-Петербург;2012;1769;2069394;150925;
Южный             федеральный округ;2012;154963;1524433;261665;
Республика Адыгея;2012;1742;23705;1988;
Республика Калмыкия;2012;1715;862;2499;
Республика Крым;2012;0;0;0;
Краснодарский край;2012;18988;483091;100329;
Астраханская область;2012;68393;39812;17151;
Волгоградская область;2012;45511;487116;53947;
Ростовская область;2012;18614;489848;85751;
г. Севастополь;2012;0;0;0;
Северо-Кавказский        федеральный округ;2012;19252;279382;101620;
Республика Дагестан;2012;3447;27508;12152;
Республика Ингушетия;2012;1051;2594;1342;
Кабардино-Балкарская Республика;2012;177;34268;8092;
Карачаево-Черкесская Республика;2012;1754;34094;5603;
Республика Северная Осетия - Алания;2012;358;15564;6555;
Чеченская Республика;2012;4290;3065;5304;
Ставропольский край;2012;8173;162289;62572;
Приволжский федеральный округ;2012;1355243;5687482;766523;
Республика Башкортостан;2012;133473;924132;88443;
Республика Марий Эл;2012;360;85833;9694;
Республика Мордовия;2012;166;101320;10212;
Республика Татарстан;2012;363156;995068;109757;
Удмуртская Республика;2012;124512;171789;27220;
Чувашская Республика;2012;695;131448;20790;
Пермский край;2012;213668;760028;90085;
Кировская область;2012;910;131145;28303;
Нижегородская область ;2012;1876;898070;80661;
Оренбургская область;2012;313118;211629;83189;
Пензенская область;2012;1878;115379;16713;
Самарская область;2012;171702;757031;98619;
Саратовская область;2012;20837;246788;80369;
Ульяновская область;2012;8891;157823;22469;
Уральский         федеральный округ;2012;3698249;3211212;528847;
Курганская область;2012;2511;67496;19170;
Свердловская область ;2012;62710;1212347;165583;
Тюменская область;2012;3605421;995337;261046;
в том числе:;2012;0;0;0;
Ханты-Мансийский автономный округ - Югра;2012;2631669;106657;175103;
Ямало-Ненецкий автономный округ;2012;890918;115409;41034;
Тюменская область  без автономных округов;2012;82834;773271;44910;
Челябинская область;2012;27607;936031;83047;
Сибирский        федеральный округ;2012;1182106;2664639;503123;
Республика Алтай;2012;740;1367;1817;
Республика Тыва;2012;14621;46116;17855;
Республика Хакасия;2012;3640;681;2920;
Алтайский край;2012;28159;61764;26770;
Красноярский край;2012;7209;198976;34398;
Иркутская область;2012;43689;25066;17819;
Кемеровская область;2012;248580;629581;105701;
Новосибирская область ;2012;190587;310081;81865;
Омская область;2012;478534;376757;89059;
Томская область;2012;22257;284940;60444;
Дальневосточный федеральный округ;2012;3006;609983;36516;
Республика Бурятия;2012;141085;119326;27958;
Республика Саха (Якутия);2012;1067496;396358;227002;
Забайкальский край;2012;317116;28029;45863;
Камчатский край;2012;7779;42342;15517;
Приморский край;2012;13869;150092;53814;
Хабаровский край ;2012;41711;120201;44974;
Амурская область;2012;53473;22025;26915;
Магаданская область;2012;59256;3895;10399;
Сахалинская область;2012;539776;25521;18533;
Еврейская автономная область;2012;398;3648;3014;
Чукотский автономный округ;2012;34116;605;7971;
Центральный федеральный округ;2013;985154;8528202;1368387;
Белгородская область;2013;96017;404467;28868;
Брянская область;2013;388;117647;10924;
Владимирская область;2013;3643;270978;30057;
Воронежская область;2013;7982;258914;55283;
Ивановская область;2013;687;91907;27609;
Калужская область;2013;3524;428617;17953;
Костромская область;2013;297;100103;33562;
Курская область;2013;50093;114020;50937;
Липецкая область;2013;5618;386962;27089;
Московская область;2013;9101;1611823;259976;
Орловская область;2013;136;71709;10280;
Рязанская область;2013;2466;191486;36072;
Смоленская область;2013;1990;137851;52194;
Тамбовская область;2013;163;89453;14354;
Тверская область;2013;1772;179909;82430;
Тульская область;2013;4336;366469;35887;
Ярославская область;2013;1135;237394;33447;
г. Москва;2013;795805;3468492;561464;
Северо-Западный федеральный округ;2013;621472;3962139;543409;
Республика Карелия;2013;51004;46614;20717;
Республика Коми;2013;248968;158458;39849;
Архангельская область;2013;184482;264884;34061;
в том числе: ;2013;0;0;0;
Ненецкий автономный округ;2013;181673;1092;2655;
Архангельская область без автономного округа;2013;2810;263791;31406;
Вологодская область;2013;495;374616;33740;
Калининградская область;2013;15302;339318;21825;
Ленинградская область;2013;15864;519640;137956;
Мурманская область;2013;93187;88347;57106;
Новгородская область;2013;1244;129436;13528;
Псковская область;2013;905;64413;10929;
г. Санкт-Петербург;2013;10019;1976412;173698;
Южный             федеральный округ;2013;182819;1610036;299044;
Республика Адыгея;2013;2164;28275;2139;
Республика Калмыкия;2013;2728;918;2459;
Республика Крым;2013;0;0;0;
Краснодарский край;2013;20948;532123;117373;
Астраханская область;2013;93638;48551;20124;
Волгоградская область;2013;45758;491157;58335;
Ростовская область;2013;17582;509012;98614;
г. Севастополь;2013;0;0;0;
Северо-Кавказский        федеральный округ;2013;20337;293914;110892;
Республика Дагестан;2013;3109;30708;14077;
Республика Ингушетия;2013;1344;3191;1477;
Кабардино-Балкарская Республика;2013;175;24126;7333;
Карачаево-Черкесская Республика;2013;1942;37600;6080;
Республика Северная Осетия - Алания;2013;433;16639;7074;
Чеченская Республика;2013;4910;4473;9765;
Ставропольский край;2013;8425;177176;65085;
Приволжский федеральный округ;2013;1499228;5895090;818301;
Республика Башкортостан;2013;146854;961320;97642;
Республика Марий Эл;2013;384;77450;11008;
Республика Мордовия;2013;185;106093;10654;
Республика Татарстан;2013;367108;1060483;121566;
Удмуртская Республика;2013;133616;190641;29524;
Чувашская Республика;2013;633;128289;21476;
Пермский край;2013;209238;783008;96926;
Кировская область;2013;848;135852;30721;
Нижегородская область ;2013;1741;943843;90996;
Оренбургская область;2013;420880;192004;62496;
Пензенская область;2013;649;128127;14480;
Самарская область;2013;186506;780879;115666;
Саратовская область;2013;20374;242266;90217;
Ульяновская область;2013;10212;164837;24930;
Уральский         федеральный округ;2013;3594732;3337978;569326;
Курганская область;2013;2447;74654;21682;
Свердловская область ;2013;54804;1257113;166297;
Тюменская область;2013;3506043;1103937;293842;
в том числе:;2013;0;0;0;
Ханты-Мансийский автономный округ - Югра;2013;2341619;384325;195094;
Ямало-Ненецкий автономный округ;2013;1054857;126393;48683;
Тюменская область  без автономных округов;2013;109567;593219;50065;
Челябинская область;2013;31438;902273;87505;
Сибирский        федеральный округ;2013;1211699;2787549;538020;
Республика Алтай;2013;575;2452;1838;
Республика Тыва;2013;14504;62738;20895;
Республика Хакасия;2013;3624;895;3220;
Алтайский край;2013;27946;65985;29211;
Красноярский край;2013;4068;205630;37721;
Иркутская область;2013;44813;22917;26109;
Кемеровская область;2013;296844;644297;119348;
Новосибирская область ;2013;213896;340427;82614;
Омская область;2013;438022;382331;89683;
Томская область;2013;22560;309416;60370;
Дальневосточный федеральный округ;2013;5781;621060;40478;
Республика Бурятия;2013;139066;129402;26534;
Республика Саха (Якутия);2013;1098304;424852;244195;
Забайкальский край;2013;338681;27823;50131;
Камчатский край;2013;5694;42785;16094;
Приморский край;2013;13637;181041;55777;
Хабаровский край ;2013;43233;114933;50372;
Амурская область;2013;49747;21952;27547;
Магаданская область;2013;53178;3797;11975;
Сахалинская область;2013;558867;28020;18429;
Еврейская автономная область;2013;414;3835;3235;
Чукотский автономный округ;2013;34853;666;10635;
Центральный федеральный округ;2014;901805;9764585;1411690;
Белгородская область;2014;84223;470245;27360;
Брянская область;2014;433;126465;13836;
Владимирская область;2014;4648;313682;31441;
Воронежская область;2014;5246;310682;57922;
Ивановская область;2014;747;91571;26531;
Калужская область;2014;3823;454878;19356;
Костромская область;2014;287;101088;36551;
Курская область;2014;43030;119510;59714;
Липецкая область;2014;5434;451426;27818;
Московская область;2014;10078;1767159;259484;
Орловская область;2014;125;80157;12259;
Рязанская область;2014;2033;200669;35038;
Смоленская область;2014;1398;140286;53872;
Тамбовская область;2014;158;100852;14813;
Тверская область;2014;968;183905;86541;
Тульская область;2014;5146;438462;41308;
Ярославская область;2014;1176;249696;33656;
г. Москва;2014;732853;4163850;574190;
Северо-Западный федеральный округ;2014;620388;4264441;566182;
Республика Карелия;2014;49048;55435;21843;
Республика Коми;2014;249068;161947;43161;
Архангельская область;2014;194882;155500;33853;
в том числе: ;2014;0;0;0;
Ненецкий автономный округ;2014;187517;5783;3076;
Архангельская область без автономного округа;2014;7365;149717;30777;
Вологодская область;2014;396;409033;35581;
Калининградская область;2014;13084;419357;22685;
Ленинградская область;2014;14401;645073;149173;
Мурманская область;2014;82163;114265;55741;
Новгородская область;2014;1638;150603;14895;
Псковская область;2014;983;63523;10542;
г. Санкт-Петербург;2014;14726;2089707;178708;
Южный             федеральный округ;2014;196154;1865122;309275;
Республика Адыгея;2014;1964;31558;2229;
Республика Калмыкия;2014;1898;887;2634;
Республика Крым;2014;2949;23505;13555;
Краснодарский край;2014;22116;661813;97150;
Астраханская область;2014;100786;48602;23624;
Волгоградская область;2014;45725;576020;60958;
Ростовская область;2014;20700;518995;108396;
г. Севастополь;2014;16;3743;729;
Северо-Кавказский        федеральный округ;2014;21757;299216;121132;
Республика Дагестан;2014;3170;26666;14168;
Республика Ингушетия;2014;1253;2936;1391;
Кабардино-Балкарская Республика;2014;173;29521;7567;
Карачаево-Черкесская Республика;2014;1934;29999;5362;
Республика Северная Осетия - Алания;2014;547;16561;7556;
Чеченская Республика;2014;5440;5662;12676;
Ставропольский край;2014;9240;187871;72412;
Приволжский федеральный округ;2014;1473180;6318146;868472;
Республика Башкортостан;2014;169093;893964;109823;
Республика Марий Эл;2014;469;104874;10863;
Республика Мордовия;2014;224;118328;11593;
Республика Татарстан;2014;368991;1183555;126046;
Удмуртская Республика;2014;137644;220811;33063;
Чувашская Республика;2014;1909;133122;21955;
Пермский край;2014;206134;846723;105398;
Кировская область;2014;898;153929;34879;
Нижегородская область ;2014;1776;998185;91099;
Оренбургская область;2014;348081;230679;65921;
Пензенская область;2014;596;139216;19667;
Самарская область;2014;205669;833357;122985;
Саратовская область;2014;20222;275766;89658;
Ульяновская область;2014;11475;185638;25522;
Уральский         федеральный округ;2014;3771668;3506425;596914;
Курганская область;2014;2320;75431;22950;
Свердловская область ;2014;52059;1343307;170915;
Тюменская область;2014;3680429;1084590;300151;
в том числе:;2014;0;0;0;
Ханты-Мансийский автономный округ - Югра;2014;2403087;398696;206904;
Ямало-Ненецкий автономный округ;2014;1146823;156798;49734;
Тюменская область  без автономных округов;2014;130518;529095;43512;
Челябинская область;2014;36862;1003098;102899;
Сибирский        федеральный округ;2014;1311676;3128069;574554;
Республика Алтай;2014;628;3277;2050;
Республика Тыва;2014;16491;70297;23093;
Республика Хакасия;2014;4569;612;3572;
Алтайский край;2014;31760;71930;31298;
Красноярский край;2014;3637;209857;40843;
Иркутская область;2014;48108;20074;27625;
Кемеровская область;2014;318766;777413;134338;
Новосибирская область ;2014;259575;367518;82363;
Омская область;2014;457400;446772;93122;
Томская область;2014;22953;328960;62922;
Дальневосточный федеральный округ;2014;3855;696947;43188;
Республика Бурятия;2014;143934;134411;30139;
Республика Саха (Якутия);2014;1394349;515247;263789;
Забайкальский край;2014;407115;33666;56674;
Камчатский край;2014;8190;42804;16324;
Приморский край;2014;11016;206804;62365;
Хабаровский край ;2014;49980;160118;53264;
Амурская область;2014;55690;24050;29652;
Магаданская область;2014;61790;3448;12248;
Сахалинская область;2014;736034;39111;20157;
Еврейская автономная область;2014;720;4597;4136;
Чукотский автономный округ;2014;63813;649;8969;
Центральный федеральный округ;2015;1052128;11810786;1491884;
Белгородская область;2015;81211;562897;28740;
Брянская область;2015;425;171551;15549;
Владимирская область;2015;3406;376168;33321;
Воронежская область;2015;5250;396550;59744;
Ивановская область;2015;933;114727;28550;
Калужская область;2015;4582;456942;20632;
Костромская область;2015;725;108058;34179;
Курская область;2015;44940;151800;59316;
Липецкая область;2015;5002;536869;28941;
Московская область;2015;15495;2086349;268205;
Орловская область;2015;147;104302;12744;
Рязанская область;2015;2402;250368;32930;
Смоленская область;2015;1026;178438;55431;
Тамбовская область;2015;173;126629;15502;
Тверская область;2015;1266;198376;88438;
Тульская область;2015;5650;524308;48251;
Ярославская область;2015;1224;310374;32714;
г. Москва;2015;878269;5156077;628697;
Северо-Западный федеральный округ;2015;733111;4879272;532267;
Республика Карелия;2015;46286;76439;24764;
Республика Коми;2015;295708;175277;43971;
Архангельская область;2015;235592;173405;35333;
в том числе: ;2015;0;0;0;
Ненецкий автономный округ;2015;217123;12532;3171;
Архангельская область без автономного округа;2015;18468;160873;32163;
Вологодская область;2015;589;498162;40876;
Калининградская область;2015;14829;422287;22988;
Ленинградская область;2015;13220;851522;99768;
Мурманская область;2015;106426;147940;56927;
Новгородская область;2015;2414;189450;15918;
Псковская область;2015;1250;81734;10565;
г. Санкт-Петербург;2015;16798;2263057;181157;
Южный             федеральный округ;2015;235937;2283400;357666;
Республика Адыгея;2015;2078;43280;2503;
Республика Калмыкия;2015;1289;1007;2683;
Республика Крым;2015;8186;57538;25553;
Краснодарский край;2015;26723;831085;109727;
Астраханская область;2015;125060;61014;25553;
Волгоградская область;2015;48094;633926;65371;
Ростовская область;2015;24023;643735;120471;
г. Севастополь;2015;483;11815;5805;
Северо-Кавказский        федеральный округ;2015;21712;379303;123815;
Республика Дагестан;2015;3337;23493;14167;
Республика Ингушетия;2015;1279;3901;1619;
Кабардино-Балкарская Республика;2015;209;37532;8157;
Карачаево-Черкесская Республика;2015;2544;28153;5760;
Республика Северная Осетия - Алания;2015;628;22649;5529;
Чеченская Республика;2015;4868;9812;14120;
Ставропольский край;2015;8847;253763;74464;
Приволжский федеральный округ;2015;1726802;7232907;893643;
Республика Башкортостан;2015;195725;978473;113188;
Республика Марий Эл;2015;501;139431;10959;
Республика Мордовия;2015;231;132268;11874;
Республика Татарстан;2015;439139;1369000;126650;
Удмуртская Республика;2015;165784;273381;34677;
Чувашская Республика;2015;638;153829;20911;
Пермский край;2015;249038;900639;105588;
Кировская область;2015;925;189956;37173;
Нижегородская область ;2015;2303;1138576;97914;
Оренбургская область;2015;383955;274498;78012;
Пензенская область;2015;411;176491;21534;
Самарская область;2015;244656;928775;115748;
Саратовская область;2015;30646;342515;93886;
Ульяновская область;2015;12851;235075;25529;
Уральский         федеральный округ;2015;4351495;4268841;605042;
Курганская область;2015;2442;88316;20414;
Свердловская область ;2015;56178;1659144;170375;
Тюменская область;2015;4235443;1323802;301417;
в том числе:;2015;0;0;0;
Ханты-Мансийский автономный округ - Югра;2015;2717011;422090;206989;
Ямало-Ненецкий автономный округ;2015;1354152;295942;49234;
Тюменская область  без автономных округов;2015;164280;605770;45194;
Челябинская область;2015;57432;1197579;112836;
Сибирский        федеральный округ;2015;1600524;3634695;634610;
Республика Алтай;2015;977;7172;2390;
Республика Тыва;2015;22860;86012;26886;
Республика Хакасия;2015;7848;725;3742;
Алтайский край;2015;38967;90278;38605;
Красноярский край;2015;5520;271651;44355;
Иркутская область;2015;61382;22653;28173;
Кемеровская область;2015;373484;913319;160264;
Новосибирская область ;2015;348350;458526;91593;
Омская область;2015;553435;476137;94377;
Томская область;2015;25852;430810;63112;
Дальневосточный федеральный округ;2015;4042;709132;48608;
Республика Бурятия;2015;157806;168281;32505;
Республика Саха (Якутия);2015;1537831;601223;278750;
Забайкальский край;2015;503910;36169;65548;
Камчатский край;2015;13254;68999;17597;
Приморский край;2015;16124;196556;62095;
Хабаровский край ;2015;62125;209749;55067;
Амурская область;2015;72180;33902;32521;
Магаданская область;2015;83196;3074;12713;
Сахалинская область;2015;708683;46935;18505;
Еврейская автономная область;2015;974;5074;4427;
Чукотский автономный округ;2015;77386;765;10276;
Центральный федеральный округ;2016;1144558;12731952;1668238;
Белгородская область;2016;88930;603881;28225;
Брянская область;2016;281;175558;16829;
Владимирская область;2016;3180;411594;36604;
Воронежская область;2016;5601;414144;64231;
Ивановская область;2016;892;119270;30807;
Калужская область;2016;2811;517016;21475;
Костромская область;2016;332;106429;36590;
Курская область;2016;49180;167197;59150;
Липецкая область;2016;5072;574430;27249;
Московская область;2016;12273;2115619;292429;
Орловская область;2016;107;105689;13656;
Рязанская область;2016;1465;251463;38946;
Смоленская область;2016;1404;180557;55230;
Тамбовская область;2016;127;137364;16126;
Тверская область;2016;1070;216934;88013;
Тульская область;2016;4339;570972;51266;
Ярославская область;2016;982;314479;36052;
г. Москва;2016;966513;5749357;755361;
Северо-Западный федеральный округ;2016;774494;4734397;598388;
Республика Карелия;2016;52405;86809;28365;
Республика Коми;2016;295262;164307;45514;
Архангельская область;2016;257676;168026;36682;
в том числе: ;2016;0;0;0;
Ненецкий автономный округ;2016;233012;22370;3909;
Архангельская область без автономного округа;2016;24664;145657;32773;
Вологодская область;2016;554;515013;43213;
Калининградская область;2016;14843;424136;26572;
Ленинградская область;2016;11461;899580;105308;
Мурманская область;2016;124267;139901;62036;
Новгородская область;2016;3735;188719;21294;
Псковская область;2016;1056;85901;11268;
г. Санкт-Петербург;2016;13234;2062005;218137;
Южный             федеральный округ;2016;260939;2358804;397324;
Республика Адыгея;2016;2390;48426;2773;
Республика Калмыкия;2016;0;735;3023;
Республика Крым;2016;12328;74005;31021;
Краснодарский край;2016;39583;825465;119759;
Астраханская область;2016;137480;61917;28402;
Волгоградская область;2016;45487;615926;63364;
Ростовская область;2016;21228;718360;141823;
г. Севастополь;2016;0;13972;7159;
Северо-Кавказский        федеральный округ;2016;23039;392782;136518;
Республика Дагестан;2016;3755;32528;18078;
Республика Ингушетия;2016;1241;3539;2861;
Кабардино-Балкарская Республика;2016;348;32883;8527;
Карачаево-Черкесская Республика;2016;2682;30014;5861;
Республика Северная Осетия - Алания;2016;581;18685;6555;
Чеченская Республика;2016;5196;9104;14680;
Ставропольский край;2016;9235;266029;79956;
Приволжский федеральный округ;2016;1688181;7364795;908654;
Республика Башкортостан;2016;209446;970695;122253;
Республика Марий Эл;2016;649;133457;11967;
Республика Мордовия;2016;132;138024;12184;
Республика Татарстан;2016;443069;1432843;133430;
Удмуртская Республика;2016;162171;333831;37255;
Чувашская Республика;2016;518;163397;21801;
Пермский край;2016;254508;868313;104835;
Кировская область;2016;1203;193715;39842;
Нижегородская область ;2016;1333;1146937;103857;
Оренбургская область;2016;338587;274312;57468;
Пензенская область;2016;846;188089;22394;
Самарская область;2016;240374;938869;119517;
Саратовская область;2016;25803;346434;95664;
