Субъекты РФ;Год;Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Добыча полезных ископаемых (млн. руб.);Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Обрабатывающие производства (млн. руб.);Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Производство и распределение электроэнергии, газа и воды (млн. руб.);"Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности: Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений (млн. руб.)"
Ульяновская область;2016;9541;235879;26187;
Уральский         федеральный округ;2016;4453004;4341747;657281;
Курганская область;2016;3493;93561;21361;
Свердловская область ;2016;54118;1642785;182509;
Тюменская область;2016;4328054;1382838;323718;
в том числе:;2016;0;0;0;
Ханты-Мансийский автономный округ - Югра;2016;2662062;425678;219992;
Ямало-Ненецкий автономный округ;2016;1495221;322287;55464;
Тюменская область  без автономных округов;2016;170772;634873;48262;
Челябинская область;2016;67340;1222563;129694;
Сибирский        федеральный округ;2016;1800423;3595051;672343;
Республика Алтай;2016;1568;5969;2758;
Республика Тыва;2016;21129;61205;27180;
Республика Хакасия;2016;14999;664;4096;
Алтайский край;2016;41422;82433;46346;
Красноярский край;2016;4852;265883;45047;
Иркутская область;2016;75688;23499;33034;
Кемеровская область;2016;403581;940698;164150;
Новосибирская область ;2016;393441;457587;100317;
Омская область;2016;658776;475009;95620;
Томская область;2016;29635;410383;64195;
Дальневосточный федеральный округ;2016;3414;709347;53764;
Республика Бурятия;2016;151917;162374;35837;
Республика Саха (Якутия);2016;1585860;600400;293532;
Забайкальский край;2016;620688;33811;72318;
Камчатский край;2016;22947;78903;19488;
Приморский край;2016;17186;189663;61252;
Хабаровский край ;2016;71553;205033;56763;
Амурская область;2016;64379;27899;33659;
Магаданская область;2016;106564;3176;15411;
Сахалинская область;2016;597755;56096;20328;
Еврейская автономная область;2016;1227;5214;4315;
Чукотский автономный округ;2016;83562;604;9998;
Центральный федеральный округ;2017;1502691;13196675;1691479;312144
Белгородская область;2017;116588;629093;27031;10614
Брянская область;2017;277;191019;16064;7347
Владимирская область;2017;4004;406484;33308;9987
Воронежская область;2017;6283;422944;88207;12116
Ивановская область;2017;755;133335;32003;4285
Калужская область;2017;3672;672706;23200;8463
Костромская область;2017;317;118263;39628;3101
Курская область;2017;67783;176100;60309;4582
Липецкая область;2017;5765;628043;25921;10347
Московская область;2017;13870;2328071;279036;72279
Орловская область;2017;106;104211;13353;3238
Рязанская область;2017;1781;277309;37935;5163
Смоленская область;2017;1454;192044;54534;6839
Тамбовская область;2017;145;134329;16099;3102
Тверская область;2017;755;246185;94874;6240
Тульская область;2017;5548;629921;49630;9426
Ярославская область;2017;1172;338016;43671;9396
г. Москва;2017;1272415;5568602;756675;125621
Северо-Западный федеральный округ;2017;844244;5178185;582716;116340
Республика Карелия;2017;73729;93268;26676;3067
Республика Коми;2017;314270;170537;47108;5715
Архангельская область;2017;294998;310669;36674;5767
в том числе: ;2017;0;0;0;0
Ненецкий автономный округ;2017;267858;21434;3832;479
Архангельская область без автономного округа;2017;27140;289235;32842;5288
Вологодская область;2017;632;572244;40646;7872
Калининградская область;2017;18260;464119;28773;6013
Ленинградская область;2017;11402;909008;99029;13257
Мурманская область;2017;107973;160154;58976;9217
Новгородская область;2017;1593;181982;19405;2998
Псковская область;2017;1371;94887;11491;4534
г. Санкт-Петербург;2017;20017;2221317;213938;57899
Южный             федеральный округ;2017;374342;2615541;384785;83770
Республика Адыгея;2017;2740;47823;2346;1807
Республика Калмыкия;2017;0;1235;2054;0
Республика Крым;2017;10787;78647;35383;6175
Краснодарский край;2017;53142;923476;110399;28504
Астраханская область;2017;226961;53839;27700;4784
Волгоградская область;2017;47985;724306;66847;14641
Ростовская область;2017;29664;772905;133563;25736
г. Севастополь;2017;0;13310;6492;0
Северо-Кавказский        федеральный округ;2017;26447;405290;142494;18195
Республика Дагестан;2017;4922;40558;19315;2626
Республика Ингушетия;2017;1463;1865;1345;487
Кабардино-Балкарская Республика;2017;398;27688;8733;1069
Карачаево-Черкесская Республика;2017;2751;35194;9061;991
Республика Северная Осетия - Алания;2017;661;27588;6697;1542
Чеченская Республика;2017;5593;10186;14379;1408
Ставропольский край;2017;10659;262211;82964;10071
Приволжский федеральный округ;2017;1972042;7942292;911282;209722
Республика Башкортостан;2017;233703;1082923;122987;22875
Республика Марий Эл;2017;656;152086;11546;4671
Республика Мордовия;2017;77;167180;11745;3347
Республика Татарстан;2017;547515;1596330;126863;28212
Удмуртская Республика;2017;191064;321066;37608;7071
Чувашская Республика;2017;706;172565;24578;6248
Пермский край;2017;294130;933960;118342;24411
Кировская область;2017;1107;199822;39382;4776
Нижегородская область ;2017;1168;1237833;99013;29172
Оренбургская область;2017;389692;304238;57928;13608
Пензенская область;2017;890;195823;22153;5329
Самарская область;2017;273744;969528;115780;40487
Саратовская область;2017;30492;352459;96236;11208
Ульяновская область;2017;7096;256480;27120;8307
Уральский         федеральный округ;2017;5202482;4760492;712098;142211
Курганская область;2017;3315;96670;20540;2856
Свердловская область ;2017;66980;1734335;235726;60330
Тюменская область;2017;5068914;1568613;318850;44790
в том числе:;2017;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2017;2983368;534441;215479;22732
Ямало-Ненецкий автономный округ;2017;1911722;346799;58693;10388
Тюменская область  без автономных округов;2017;173825;687373;44678;11671
Челябинская область;2017;63272;1360874;136982;34234
Сибирский        федеральный округ;2017;2225155;3825717;618728;104623
Республика Алтай;2017;3593;4995;2822;356
Республика Тыва;2017;23347;370;4669;326
Республика Хакасия;2017;52497;87250;47622;1455
Алтайский край;2017;6143;307970;45807;8069
Красноярский край;2017;552416;990878;163533;28898
Иркутская область;2017;455207;481866;111750;14309
Кемеровская область;2017;899156;545842;96518;17251
Новосибирская область ;2017;50568;459489;59641;17522
Омская область;2017;3165;791301;50397;8673
Томская область;2017;179063;155757;35969;7764
Дальневосточный федеральный округ;2017;1768762;788270;336100;35493
Республика Бурятия;2017;25331;59164;26888;1512
Республика Саха (Якутия);2017;599620;34852;61133;5175
Забайкальский край;2017;82184;26309;31144;2842
Камчатский край;2017;19729;99560;21588;2555
Приморский край;2017;19568;229130;62629;9476
Хабаровский край ;2017;78459;244085;53619;6805
Амурская область;2017;64359;31095;36087;2881
Магаданская область;2017;112749;4467;14541;854
Сахалинская область;2017;693852;51842;16465;2662
Еврейская автономная область;2017;7593;6743;4209;446
Чукотский автономный округ;2017;65316;1023;7796;288
Центральный федеральный округ;2018;2099611;15104470;1748280;379124
Белгородская область;2018;148863;710829;26805;8936
Брянская область;2018;262;218544;17730;8901
Владимирская область;2018;5005;448428;36295;11257
Воронежская область;2018;7726;448223;99618;13512
Ивановская область;2018;972;152792;31077;4687
Калужская область;2018;3938;830716;23282;10017
Костромская область;2018;401;135820;36785;3374
Курская область;2018;91249;194723;58383;9053
Липецкая область;2018;7052;756976;25534;12409
Московская область;2018;12744;2600340;287728;94555
Орловская область;2018;232;115793;13794;3890
Рязанская область;2018;1664;303564;38454;5859
Смоленская область;2018;1791;209367;55189;8791
Тамбовская область;2018;200;162991;15773;3497
Тверская область;2018;970;308286;103028;6677
Тульская область;2018;6153;703297;49812;10445
Ярославская область;2018;1566;390117;45608;9249
г. Москва;2018;1808823;6413663;783384;154014
Северо-Западный федеральный округ;2018;1027684;6034735;618401;121158
Республика Карелия;2018;83395;121610;25664;4198
Республика Коми;2018;400373;194301;44613;6331
Архангельская область;2018;385402;247567;34886;5959
в том числе: ;2018;0;0;0;0
Ненецкий автономный округ;2018;352134;14916;3063;465
Архангельская область без автономного округа;2018;33268;232651;31823;5494
Вологодская область;2018;798;692721;40464;7059
Калининградская область;2018;18428;576618;37791;6433
Ленинградская область;2018;15857;1095745;130252;13540
Мурманская область;2018;96258;185431;57999;9251
Новгородская область;2018;1178;201188;21582;3339
Псковская область;2018;1959;103644;11760;5513
г. Санкт-Петербург;2018;24035;2615910;213389;59536
Южный             федеральный округ;2018;517448;3034681;435469;106055
Республика Адыгея;2018;3393;52529;2428;1503
Республика Калмыкия;2018;0;930;2700;0
Республика Крым;2018;14372;93537;37021;6455
Краснодарский край;2018;52498;1025101;121025;32339
Астраханская область;2018;346022;61946;27806;6109
Волгоградская область;2018;63480;882563;71872;16832
Ростовская область;2018;33457;906803;153514;39490
г. Севастополь;2018;0;11272;19103;0
Северо-Кавказский        федеральный округ;2018;26105;438133;148584;18509
Республика Дагестан;2018;5431;45567;21949;1853
Республика Ингушетия;2018;1082;2111;1506;501
Кабардино-Балкарская Республика;2018;249;30940;9829;1186
Карачаево-Черкесская Республика;2018;2821;31150;9401;1241
Республика Северная Осетия - Алания;2018;702;19376;7125;1467
Чеченская Республика;2018;5272;10381;15463;1763
Ставропольский край;2018;10548;298609;83311;10497
Приволжский федеральный округ;2018;2611155;9154765;980674;240776
Республика Башкортостан;2018;314530;1245977;128760;24793
Республика Марий Эл;2018;684;157872;11878;5010
Республика Мордовия;2018;86;189094;13577;7088
Республика Татарстан;2018;689612;1930682;144762;39541
Удмуртская Республика;2018;253384;377641;40784;8645
Чувашская Республика;2018;997;197853;27133;6060
Пермский край;2018;387065;1133053;124036;28376
Кировская область;2018;1399;232093;40669;7452
Нижегородская область ;2018;1801;1391676;109520;28789
Оренбургская область;2018;542497;348348;61913;19116
Пензенская область;2018;909;196327;22596;5565
Самарская область;2018;368183;1098570;125309;37642
Саратовская область;2018;42026;398719;101302;12763
Ульяновская область;2018;7982;256859;28434;9935
Уральский         федеральный округ;2018;6683342;5485925;705288;163147
Курганская область;2018;3222;105500;21324;3943
Свердловская область ;2018;76538;1968982;243507;70627
Тюменская область;2018;6522593;1919669;317522;45797
в том числе:;2018;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2018;3778782;673173;218778;24909
Ямало-Ненецкий автономный округ;2018;2470590;442187;47357;10253
Тюменская область  без автономных округов;2018;273221;804308;51388;10635
Челябинская область;2018;80990;1491774;122934;42781
Сибирский        федеральный округ;2018;2872592;4473042;652264;118449
Республика Алтай;2018;2688;3561;3048;395
Республика Тыва;2018;28678;518;4291;279
Республика Хакасия;2018;74047;91648;53140;1622
Алтайский край;2018;5023;322810;47440;10323
Красноярский край;2018;748109;1206799;174982;28813
Иркутская область;2018;603873;513815;120261;17839
Кемеровская область;2018;1097995;650683;95662;22063
Новосибирская область ;2018;90661;533607;61720;17314
Омская область;2018;3822;961524;53353;10937
Томская область;2018;217696;188076;38368;8863
Дальневосточный федеральный округ;2018;2355933;873762;352960;38370
Республика Бурятия;2018;27974;65598;26273;1724
Республика Саха (Якутия);2018;804388;37175;66210;5384
Забайкальский край;2018;108400;23788;34259;3330
Камчатский край;2018;21518;133151;18224;2501
Приморский край;2018;22557;235888;66550;9550
Хабаровский край ;2018;91358;271571;57061;8244
Амурская область;2018;60169;34091;37046;3074
Магаданская область;2018;124937;4512;16012;933
Сахалинская область;2018;1016799;60300;18063;2621
Еврейская автономная область;2018;10330;6632;4455;519
Чукотский автономный округ;2018;67502;1055;8805;491
Центральный федеральный округ;2019;2102477;16610438;1753190;420235
Белгородская область;2019;178390;722700;26543;11404
Брянская область;2019;338;253662;17709;9259
Владимирская область;2019;5426;491830;37816;11582
Воронежская область;2019;9027;505913;110385;15657
Ивановская область;2019;1238;158112;29421;5763
Калужская область;2019;3713;882806;23566;9869
Костромская область;2019;1022;143963;41467;3608
Курская область;2019;105885;197466;60320;8642
Липецкая область;2019;7732;683022;24443;11369
Московская область;2019;15399;3014481;276445;96824
Орловская область;2019;280;117839;13508;5206
Рязанская область;2019;1572;326074;39783;6760
Смоленская область;2019;1619;209664;53820;12242
Тамбовская область;2019;292;172109;15591;4237
Тверская область;2019;759;344052;99972;8314
Тульская область;2019;7570;740950;55250;12822
Ярославская область;2019;1892;395894;44106;10080
г. Москва;2019;1760325;7249902;783045;176597
Северо-Западный федеральный округ;2019;1129049;6267136;680037;146359
Республика Карелия;2019;91189;126762;25679;3130
Республика Коми;2019;425992;199128;43013;8307
Архангельская область;2019;393050;194722;38354;6181
в том числе: ;2019;0;0;0;0
Ненецкий автономный округ;2019;359496;1553;3991;474
Архангельская область без автономного округа;2019;33554;193169;34363;5708
Вологодская область;2019;634;704649;41971;10033
Калининградская область;2019;18593;599548;46186;7572
Ленинградская область;2019;15727;1115017;177691;17701
Мурманская область;2019;143329;321233;59981;8823
Новгородская область;2019;1153;202563;19871;3462
Псковская область;2019;2105;124228;11742;5669
г. Санкт-Петербург;2019;37277;2679285;215549;75480
Южный             федеральный округ;2019;514510;2989258;432802;110646
Республика Адыгея;2019;3710;50080;2533;1758
Республика Калмыкия;2019;0;695;2906;0
Республика Крым;2019;10993;99092;37761;8500
Краснодарский край;2019;64341;967479;117414;31225
Астраханская область;2019;339168;76915;29213;5462
Волгоградская область;2019;58875;905403;72771;20860
Ростовская область;2019;34041;873735;165944;39220
г. Севастополь;2019;0;15859;4260;0
Северо-Кавказский        федеральный округ;2019;26904;434785;142728;19964
Республика Дагестан;2019;5415;46571;19469;2183
Республика Ингушетия;2019;1187;2216;1501;536
Кабардино-Балкарская Республика;2019;260;34495;8448;1662
Карачаево-Черкесская Республика;2019;2798;25908;9792;1357
Республика Северная Осетия - Алания;2019;700;19573;7025;1575
Чеченская Республика;2019;5261;10936;21599;1447
Ставропольский край;2019;11283;295087;74894;11204
Приволжский федеральный округ;2019;2665497;9585058;1004283;267627
Республика Башкортостан;2019;309097;1320851;141093;26569
Республика Марий Эл;2019;677;161680;11954;5856
Республика Мордовия;2019;96;207256;12354;4172
Республика Татарстан;2019;688510;1934817;148124;39266
Удмуртская Республика;2019;253858;406857;40949;9285
Чувашская Республика;2019;728;226882;26792;7041
Пермский край;2019;396476;1156605;129108;26742
Кировская область;2019;2970;238490;41182;7961
Нижегородская область ;2019;2141;1498896;110435;31881
Оренбургская область;2019;589756;325780;67293;20585
Пензенская область;2019;1584;223956;22635;7295
Самарская область;2019;371282;1156027;126851;49393
Саратовская область;2019;34948;410146;98183;22339
Ульяновская область;2019;13374;316814;27330;9240
Уральский         федеральный округ;2019;6953555;5384621;749744;172107
Курганская область;2019;3595;125412;21156;4201
Свердловская область ;2019;92683;2039463;255390;80966
Тюменская область;2019;6768641;1738763;344384;47117
в том числе:;2019;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2019;3859612;699832;231027;24549
Ямало-Ненецкий автономный округ;2019;2664635;376535;56404;11326
Тюменская область  без автономных округов;2019;244394;662397;56953;11242
Челябинская область;2019;88635;1480982;128814;39824
Сибирский        федеральный округ;2019;2721670;4904132;665993;124977
Республика Алтай;2019;1114;3537;2880;525
Республика Тыва;2019;21458;666;4788;333
Республика Хакасия;2019;69369;101638;50836;2259
Алтайский край;2019;7746;357699;43901;9813
Красноярский край;2019;780629;1569814;176653;30435
Иркутская область;2019;619092;495138;129839;15511
Кемеровская область;2019;947068;662510;97458;21618
Новосибирская область ;2019;77495;548433;69252;24565
Омская область;2019;3436;964220;54695;11211
Томская область;2019;194264;200476;35691;8707
Дальневосточный федеральный округ;2019;2210464;1260597;376677;62398
Республика Бурятия;2019;36804;75070;24856;2693
Республика Саха (Якутия);2019;886422;40399;70799;6819
Забайкальский край;2019;134851;28122;35479;2766
Камчатский край;2019;23599;138697;21430;3194
Приморский край;2019;23711;296109;66327;9773
Хабаровский край ;2019;22102;353833;61521;27390
Амурская область;2019;82506;39032;45166;3309
Магаданская область;2019;29146;147417;18027;1078
Сахалинская область;2019;942671;67953;18879;4328
Еврейская автономная область;2019;13972;6623;4758;443
Чукотский автономный округ;2019;14681;67343;9436;605
Центральный федеральный округ;2020;1451215;18323564;1961369;568812
Белгородская область;2020;189914;771791;26864;12832
Брянская область;2020;475;263180;17628;10041
Владимирская область;2020;6060;540893;37237;13862
Воронежская область;2020;9783;600000;137282;24570
Ивановская область;2020;1286;217114;28453;10291
Калужская область;2020;4910;904498;24496;14965
Костромская область;2020;755;145089;32422;4628
Курская область;2020;105101;224383;57757;8305
Липецкая область;2020;7308;757229;23361;12540
Московская область;2020;20873;3417125;285386;146567
Орловская область;2020;352;146696;13650;4578
Рязанская область;2020;1631;351864;40235;14706
Смоленская область;2020;2136;242102;54615;14261
Тамбовская область;2020;215;194488;15196;4607
Тверская область;2020;1342;362864;93134;10996
Тульская область;2020;7170;869483;55708;19119
Ярославская область;2020;1572;440236;46449;12451
г. Москва;2020;1090331;7874528;971495;229494
Северо-Западный федеральный округ;2020;950642;6994511;668000;191636
Республика Карелия;2020;90138;136599;26597;4687
Республика Коми;2020;303588;192748;42471;10276
Архангельская область;2020;286190;261046;42104;9411
в том числе: ;2020;0;0;0;0
Ненецкий автономный округ;2020;255515;1963;5189;695
Архангельская область без автономного округа;2020;30675;259083;36916;8716
Вологодская область;2020;983;738220;40446;11316
Калининградская область;2020;15248;603077;49489;8383
Ленинградская область;2020;16305;1127686;169838;22207
Мурманская область;2020;196829;755607;55345;10978
Новгородская область;2020;1326;217986;19417;4061
Псковская область;2020;2151;125846;11049;5454
г. Санкт-Петербург;2020;37884;2835695;211242;104862
Южный             федеральный округ;2020;364935;2951409;448579;121129
Республика Адыгея;2020;2713;53945;4935;1890
Республика Калмыкия;2020;0;964;4108;0
Республика Крым;2020;13365;107905;49760;9141
Краснодарский край;2020;27058;1001652;115718;36970
Астраханская область;2020;249598;78370;29711;6793
Волгоградская область;2020;34343;775104;72254;23081
Ростовская область;2020;35471;913857;163171;39374
г. Севастополь;2020;0;19612;8921;0
Северо-Кавказский        федеральный округ;2020;25061;481963;146391;26926
Республика Дагестан;2020;3680;38806;17855;2378
Республика Ингушетия;2020;929;2302;384;893
Кабардино-Балкарская Республика;2020;174;45566;9481;1630
Карачаево-Черкесская Республика;2020;3041;27185;9956;1754
Республика Северная Осетия - Алания;2020;998;22947;15093;1860
Чеченская Республика;2020;4517;14205;24902;2200
Ставропольский край;2020;11722;330952;68721;16211
Приволжский федеральный округ;2020;2092797;9395893;996739;318842
Республика Башкортостан;2020;217173;1186546;137676;41323
Республика Марий Эл;2020;1121;146983;11701;6892
Республика Мордовия;2020;139;242209;12312;4447
Республика Татарстан;2020;581775;2007071;145754;46017
Удмуртская Республика;2020;186864;353208;40520;14023
Чувашская Республика;2020;559;227378;24725;6859
Пермский край;2020;291513;1077505;121758;31477
Кировская область;2020;1319;270499;41008;9227
Нижегородская область ;2020;2402;1421743;110201;49865
Оренбургская область;2020;483119;317057;65507;22474
Пензенская область;2020;1956;276729;22612;8270
Самарская область;2020;275452;1132871;141328;51636
Саратовская область;2020;34581;443632;95216;13674
Ульяновская область;2020;14825;292463;26423;12657
Уральский         федеральный округ;2020;5452222;5318674;730379;211887
Курганская область;2020;3611;129021;19898;5735
Свердловская область ;2020;96468;2148310;249850;96983
Тюменская область;2020;5210842;1561421;327818;62086
в том числе:;2020;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2020;2667269;572954;213994;25832
Ямало-Ненецкий автономный округ;2020;2359770;308721;53635;14407
Тюменская область  без автономных округов;2020;183803;679745;60190;21847
Челябинская область;2020;141301;1479923;132812;47082
Сибирский        федеральный округ;2020;2165497;5165426;675445;203950
Республика Алтай;2020;2139;4386;3005;425
Республика Тыва;2020;16918;727;5439;406
Республика Хакасия;2020;72453;111415;56269;2383
Алтайский край;2020;9166;402597;45442;14377
Красноярский край;2020;636161;1754791;175713;37630
Иркутская область;2020;530680;555215;131336;21025
Кемеровская область;2020;728737;647260;105310;71939
Новосибирская область ;2020;50311;602118;68231;29344
Омская область;2020;2029;876160;52501;16808
Томская область;2020;116903;210756;32199;9613
Дальневосточный федеральный округ;2020;2109401;1386477;390124;60331
Республика Бурятия;2020;52223;100132;26745;3916
Республика Саха (Якутия);2020;834442;35960;73700;7794
Забайкальский край;2020;175013;30096;35734;4967
Камчатский край;2020;30352;129352;23576;3520
Приморский край;2020;25530;256697;70414;13934
Хабаровский край ;2020;30240;424019;58788;13274
Амурская область;2020;123676;44125;43813;5604
Магаданская область;2020;0;196783;18316;0
Сахалинская область;2020;732138;69689;20212;4689
Еврейская автономная область;2020;0;6194;5204;0
Чукотский автономный округ;2020;24188;93431;13622;1029
Центральный федеральный округ;2021;2420251;22740130;1960987;599176
Белгородская область;2021;369693;1019828;28631;16456
Брянская область;2021;308;325806;19265;13910
Владимирская область;2021;7182;744868;39961;15302
Воронежская область;2021;9795;722551;141444;25288
Ивановская область;2021;1241;225177;30420;6762
Калужская область;2021;5297;1082716;27615;16239
Костромская область;2021;848;180316;42416;4641
Курская область;2021;219264;299929;61913;8366
Липецкая область;2021;6761;1185766;26450;15205
Московская область;2021;17459;3960809;322185;158247
Орловская область;2021;298;180335;14812;7301
Рязанская область;2021;2179;441517;47221;10751
Смоленская область;2021;2051;294762;61945;12291
Тамбовская область;2021;243;248489;16083;5039
Тверская область;2021;833;391754;108272;10077
Тульская область;2021;9616;1098492;59260;26210
Ярославская область;2021;1626;513122;48925;13664
г. Москва;2021;1765556;9823893;864170;233427
Северо-Западный федеральный округ;2021;1666433;9778498;786336;197221
Республика Карелия;2021;176648;159674;29788;4005
Республика Коми;2021;508036;192952;45586;11023
Архангельская область;2021;515672;420032;45168;8693
в том числе: ;2021;0;0;0;0
Ненецкий автономный округ;2021;470123;1883;5361;689
Архангельская область без автономного округа;2021;45549;418149;39807;8005
Вологодская область;2021;655;1249981;37766;11137
Калининградская область;2021;21056;730863;62810;9380
Ленинградская область;2021;18599;1530947;207446;27293
Мурманская область;2021;268163;854719;62403;10677
Новгородская область;2021;1223;329981;19749;4524
Псковская область;2021;3046;148709;13291;6461
г. Санкт-Петербург;2021;153335;4160640;262330;104028
Южный             федеральный округ;2021;528737;3343212;502137;127316
Республика Адыгея;2021;3249;59498;6262;2311
Республика Калмыкия;2021;0;591;7371;0
Республика Крым;2021;11731;115296;60034;9410
Краснодарский край;2021;27732;1302764;126559;36054
Астраханская область;2021;381324;76799;35390;7856
Волгоградская область;2021;52180;608105;72919;23571
Ростовская область;2021;50354;1160044;182804;44374
г. Севастополь;2021;0;20115;10798;0
Северо-Кавказский        федеральный округ;2021;46099;592795;168274;26393
Республика Дагестан;2021;4748;46141;17172;2317
Республика Ингушетия;2021;1431;3316;426;955
Кабардино-Балкарская Республика;2021;331;44389;9833;1630
Карачаево-Черкесская Республика;2021;3585;30452;11169;1855
Республика Северная Осетия - Алания;2021;735;24024;16661;2153
Чеченская Республика;2021;4177;11444;29286;2359
Ставропольский край;2021;31093;433028;83728;15125
Приволжский федеральный округ;2021;3512961;11702986;1074262;355748
Республика Башкортостан;2021;298651;1630124;149483;35587
Республика Марий Эл;2021;577;175620;13374;8228
Республика Мордовия;2021;180;295082;12239;3653
Республика Татарстан;2021;1012861;2871028;163261;62384
Удмуртская Республика;2021;332674;389363;42072;16787
Чувашская Республика;2021;413;242028;30269;8599
Пермский край;2021;515049;1168668;129873;35589
Кировская область;2021;1472;358632;42158;8005
Нижегородская область ;2021;3534;1489675;119362;45105
Оренбургская область;2021;774984;430688;71347;34015
Пензенская область;2021;2819;315428;23368;9965
Самарская область;2021;495044;1397800;133651;59145
Саратовская область;2021;53258;605685;114706;15225
Ульяновская область;2021;21445;333166;29101;13461
Уральский         федеральный округ;2021;8953999;7332335;788168;239862
Курганская область;2021;3454;155444;21350;6779
Свердловская область ;2021;166258;2559396;258572;123065
Тюменская область;2021;8569475;2463727;360604;66354
в том числе:;2021;0;0;0;0
Ханты-Мансийский автономный округ - Югра;2021;4553666;866074;237771;26107
Ямало-Ненецкий автономный округ;2021;3700418;572318;58874;12737
Тюменская область  без автономных округов;2021;315392;1025335;63959;27510
Челябинская область;2021;214812;2153767;147641;43664
Сибирский        федеральный округ;2021;3598931;5860007;752701;264604
Республика Алтай;2021;1290;5716;3014;483
Республика Тыва;2021;20969;739;5863;521
Республика Хакасия;2021;108329;133562;62644;2628
Алтайский край;2021;13041;506265;47619;14128
Красноярский край;2021;902926;1762955;208881;44370
Иркутская область;2021;802009;687413;143065;25797
Кемеровская область;2021;1447933;891953;109977;109379
Новосибирская область ;2021;99496;696035;77839;37720
Омская область;2021;3981;920125;56501;18921
Томская область;2021;198958;255245;37298;10657
Дальневосточный федеральный округ;2021;2870991;1628141;412367;56305
Республика Бурятия;2021;52830;117667;28095;5433
Республика Саха (Якутия);2021;1335542;32338;75412;9073
Забайкальский край;2021;218793;31788;35634;3566
Камчатский край;2021;32685;155338;22755;3427
Приморский край;2021;27449;323322;81070;12783
Хабаровский край ;2021;56171;505684;64803;11258
Амурская область;2021;121535;52473;42051;3654
Магаданская область;2021;0;236627;19408;0
Сахалинская область;2021;926461;71178;22332;4348
Еврейская автономная область;2021;0;6149;4963;0
Чукотский автономный округ;2021;24960;95578;15844;720
