Субъект РФ;Год;Ввод в действие жилых домов (всего тыс. кв.м. общей площади жилых помещений)
Центральный федеральный округ;2000;10180.1
Белгородская область;2000;703.7
Брянская область;2000;225.3
Владимирская область;2000;280.6
Воронежская область;2000;568.7
Ивановская область;2000;105.5
Калужская область;2000;178.4
Костромская область;2000;157.1
Курская область;2000;175.7
Липецкая область;2000;321.2
Московская область;2000;2610.9
Орловская область;2000;245.1
Рязанская область;2000;255.3
Смоленская область;2000;169.6
Тамбовская область;2000;241.1
Тверская область;2000;217.7
Тульская область;2000;251.1
Ярославская область;2000;130.9
г. Москва;2000;3342.3
Северо-Западный федеральный округ;2000;2450.5
Республика Карелия;2000;62.5
Республика Коми;2000;262.7
Архангельская область;2000;77.8
в том числе: ;2000;0
Ненецкий автономный округ;2000;12.2
Архангельская область без автономного округа;2000;65.6
Вологодская область;2000;204.5
Калининградская область;2000;171.8
Ленинградская область;2000;391.5
Мурманская область;2000;27.9
Новгородская область;2000;89
Псковская область;2000;81.8
г. Санкт-Петербург;2000;1080.9
Южный             федеральный округ;2000;3337.4
Республика Адыгея;2000;67.8
Республика Калмыкия;2000;36.8
Республика Крым;2000;0
Краснодарский край;2000;1391.6
Астраханская область;2000;484.9
Волгоградская область;2000;400.5
Ростовская область;2000;955.8
г. Севастополь;2000;0
Северо-Кавказский        федеральный округ;2000;1493.1
Республика Дагестан;2000;433.1
Республика Ингушетия;2000;14.6
Кабардино-Балкарская Республика;2000;192.6
Карачаево-Черкесская Республика;2000;50.2
Республика Северная Осетия - Алания;2000;134.5
Чеченская Республика;2000;0
Ставропольский край;2000;668.1
Приволжский федеральный округ;2000;6934.1
Республика Башкортостан;2000;1254.9
Республика Марий Эл;2000;120.2
Республика Мордовия;2000;182.1
Республика Татарстан;2000;1502.6
Удмуртская Республика;2000;257
Чувашская Республика;2000;502.3
Пермский край;2000;330.2
Кировская область;2000;221
Нижегородская область ;2000;577
Оренбургская область;2000;385.2
Пензенская область;2000;223.4
Самарская область;2000;691.2
Саратовская область;2000;472.5
Ульяновская область;2000;214.2
Уральский         федеральный округ;2000;2264.8
Курганская область;2000;73.2
Свердловская область ;2000;616.7
Тюменская область;2000;905.8
в том числе:;2000;0
Ханты-Мансийский автономный округ - Югра;2000;355.2
Ямало-Ненецкий автономный округ;2000;96.8
Тюменская область  без автономных округов;2000;453.8
Челябинская область;2000;669.1
Сибирский        федеральный округ;2000;2532.5
Республика Алтай;2000;24.6
Республика Тыва;2000;31.2
Республика Хакасия;2000;131.4
Алтайский край;2000;415
Красноярский край;2000;443.4
Иркутская область;2000;185.8
Кемеровская область;2000;337.7
Новосибирская область ;2000;504.9
Омская область;2000;253.3
Томская область;2000;205.2
Дальневосточный федеральный округ;2000;1043
Республика Бурятия;2000;170.3
Республика Саха (Якутия);2000;247.2
Забайкальский край;2000;74.8
Камчатский край;2000;7.5
Приморский край;2000;191.4
Хабаровский край ;2000;148.8
Амурская область;2000;121.5
Магаданская область;2000;6.2
Сахалинская область;2000;66.4
Еврейская автономная область;2000;8
Чукотский автономный округ;2000;0.8
Центральный федеральный округ;2001;10611.2
Белгородская область;2001;595.4
Брянская область;2001;236.9
Владимирская область;2001;246
Воронежская область;2001;584.6
Ивановская область;2001;91.6
Калужская область;2001;194
Костромская область;2001;185
Курская область;2001;192.7
Липецкая область;2001;385.9
Московская область;2001;2827.8
Орловская область;2001;246.2
Рязанская область;2001;183.9
Смоленская область;2001;180.2
Тамбовская область;2001;220.7
Тверская область;2001;259.2
Тульская область;2001;128
Ярославская область;2001;162.6
г. Москва;2001;3690.6
Северо-Западный федеральный округ;2001;2436.1
Республика Карелия;2001;78.4
Республика Коми;2001;115.9
Архангельская область;2001;99.8
в том числе: ;2001;0
Ненецкий автономный округ;2001;11.9
Архангельская область без автономного округа;2001;88
Вологодская область;2001;239.4
Калининградская область;2001;175.7
Ленинградская область;2001;414.7
Мурманская область;2001;7.8
Новгородская область;2001;93.9
Псковская область;2001;92.4
г. Санкт-Петербург;2001;1118.2
Южный             федеральный округ;2001;3450.7
Республика Адыгея;2001;73.4
Республика Калмыкия;2001;77
Республика Крым;2001;0
Краснодарский край;2001;1440.2
Астраханская область;2001;496.4
Волгоградская область;2001;407.3
Ростовская область;2001;956.4
г. Севастополь;2001;0
Северо-Кавказский        федеральный округ;2001;1610.8
Республика Дагестан;2001;567.8
Республика Ингушетия;2001;25.3
Кабардино-Балкарская Республика;2001;205.6
Карачаево-Черкесская Республика;2001;75.3
Республика Северная Осетия - Алания;2001;163.9
Чеченская Республика;2001;0
Ставропольский край;2001;572.9
Приволжский федеральный округ;2001;7462.3
Республика Башкортостан;2001;1400.6
Республика Марий Эл;2001;131.4
Республика Мордовия;2001;183.5
Республика Татарстан;2001;1547.7
Удмуртская Республика;2001;276.7
Чувашская Республика;2001;507.8
Пермский край;2001;525.4
Кировская область;2001;218.8
Нижегородская область ;2001;532.6
Оренбургская область;2001;441.1
Пензенская область;2001;197
Самарская область;2001;748.6
Саратовская область;2001;509.2
Ульяновская область;2001;242.1
Уральский         федеральный округ;2001;2642.3
Курганская область;2001;85.6
Свердловская область ;2001;636.2
Тюменская область;2001;1263.2
в том числе:;2001;0
Ханты-Мансийский автономный округ - Югра;2001;689.3
Ямало-Ненецкий автономный округ;2001;117.8
Тюменская область  без автономных округов;2001;456.1
Челябинская область;2001;657.3
Сибирский        федеральный округ;2001;2293
Республика Алтай;2001;15.4
Республика Тыва;2001;34.2
Республика Хакасия;2001;66
Алтайский край;2001;439.4
Красноярский край;2001;376.1
Иркутская область;2001;183.3
Кемеровская область;2001;395.5
Новосибирская область ;2001;401.2
Омская область;2001;173.6
Томская область;2001;207.9
Дальневосточный федеральный округ;2001;1157
Республика Бурятия;2001;183.6
Республика Саха (Якутия);2001;355.6
Забайкальский край;2001;92.6
Камчатский край;2001;10.3
Приморский край;2001;220.8
Хабаровский край ;2001;129.6
Амурская область;2001;101.7
Магаданская область;2001;7
Сахалинская область;2001;38.4
Еврейская автономная область;2001;7.6
Чукотский автономный округ;2001;10
Центральный федеральный округ;2002;11929.5
Белгородская область;2002;663.1
Брянская область;2002;241.7
Владимирская область;2002;253.3
Воронежская область;2002;652.8
Ивановская область;2002;98.7
Калужская область;2002;198.2
Костромская область;2002;112.2
Курская область;2002;191.6
Липецкая область;2002;304
Московская область;2002;3414.8
Орловская область;2002;233.3
Рязанская область;2002;221.8
Смоленская область;2002;195.6
Тамбовская область;2002;248.2
Тверская область;2002;259
Тульская область;2002;192.3
Ярославская область;2002;174.7
г. Москва;2002;4274.1
Северо-Западный федеральный округ;2002;2610.4
Республика Карелия;2002;69.1
Республика Коми;2002;148.8
Архангельская область;2002;106.7
в том числе: ;2002;0
Ненецкий автономный округ;2002;4.8
Архангельская область без автономного округа;2002;102
Вологодская область;2002;238.5
Калининградская область;2002;198
Ленинградская область;2002;433.2
Мурманская область;2002;4.5
Новгородская область;2002;97.5
Псковская область;2002;100.4
г. Санкт-Петербург;2002;1213.7
Южный             федеральный округ;2002;3782
Республика Адыгея;2002;118.1
Республика Калмыкия;2002;64
Республика Крым;2002;0
Краснодарский край;2002;1645
Астраханская область;2002;520.9
Волгоградская область;2002;450.1
Ростовская область;2002;983.9
г. Севастополь;2002;0
Северо-Кавказский        федеральный округ;2002;1500.7
Республика Дагестан;2002;484.9
Республика Ингушетия;2002;14.4
Кабардино-Балкарская Республика;2002;209.8
Карачаево-Черкесская Республика;2002;66.4
Республика Северная Осетия - Алания;2002;134.1
Чеченская Республика;2002;0
Ставропольский край;2002;591.1
Приволжский федеральный округ;2002;7473.2
Республика Башкортостан;2002;1406.7
Республика Марий Эл;2002;140.3
Республика Мордовия;2002;144.5
Республика Татарстан;2002;1543.4
Удмуртская Республика;2002;353.5
Чувашская Республика;2002;515.2
Пермский край;2002;360.7
Кировская область;2002;190.2
Нижегородская область ;2002;484.6
Оренбургская область;2002;472.8
Пензенская область;2002;250.8
Самарская область;2002;859.1
Саратовская область;2002;571.2
Ульяновская область;2002;180.3
Уральский         федеральный округ;2002;2850.7
Курганская область;2002;101.1
Свердловская область ;2002;704.2
Тюменская область;2002;1339
в том числе:;2002;0
Ханты-Мансийский автономный округ - Югра;2002;683.4
Ямало-Ненецкий автономный округ;2002;180.6
Тюменская область  без автономных округов;2002;475
Челябинская область;2002;706.4
Сибирский        федеральный округ;2002;2573
Республика Алтай;2002;26.1
Республика Тыва;2002;27
Республика Хакасия;2002;100.7
Алтайский край;2002;371.9
Красноярский край;2002;491.8
Иркутская область;2002;230.8
Кемеровская область;2002;463.3
Новосибирская область ;2002;417.6
Омская область;2002;229.6
Томская область;2002;213.7
Дальневосточный федеральный округ;2002;1030
Республика Бурятия;2002;184.9
Республика Саха (Якутия);2002;249.6
Забайкальский край;2002;81.4
Камчатский край;2002;14.2
Приморский край;2002;175.4
Хабаровский край ;2002;136.2
Амурская область;2002;113.6
Магаданская область;2002;2.5
Сахалинская область;2002;42.6
Еврейская автономная область;2002;16.7
Чукотский автономный округ;2002;12.6
Центральный федеральный округ;2003;13297.3
Белгородская область;2003;671.2
Брянская область;2003;221.8
Владимирская область;2003;279.4
Воронежская область;2003;750.2
Ивановская область;2003;119.7
Калужская область;2003;216.7
Костромская область;2003;105
Курская область;2003;275.9
Липецкая область;2003;347.5
Московская область;2003;4114.8
Орловская область;2003;239.4
Рязанская область;2003;263.6
Смоленская область;2003;260
Тамбовская область;2003;258.7
Тверская область;2003;292.5
Тульская область;2003;223.2
Ярославская область;2003;214.8
г. Москва;2003;4443
Северо-Западный федеральный округ;2003;3254.8
Республика Карелия;2003;83.6
Республика Коми;2003;159.5
Архангельская область;2003;94.1
в том числе: ;2003;0
Ненецкий автономный округ;2003;9.5
Архангельская область без автономного округа;2003;85
Вологодская область;2003;247
Калининградская область;2003;232.3
Ленинградская область;2003;444.2
Мурманская область;2003;13.3
Новгородская область;2003;109.4
Псковская область;2003;113.6
г. Санкт-Петербург;2003;1757.9
Южный             федеральный округ;2003;3687
Республика Адыгея;2003;58.2
Республика Калмыкия;2003;50.2
Республика Крым;2003;0
Краснодарский край;2003;1580.1
Астраханская область;2003;582.1
Волгоградская область;2003;411.8
Ростовская область;2003;1004.6
г. Севастополь;2003;0
Северо-Кавказский        федеральный округ;2003;1591.9
Республика Дагестан;2003;520.2
Республика Ингушетия;2003;19.8
Кабардино-Балкарская Республика;2003;214.2
Карачаево-Черкесская Республика;2003;68.5
Республика Северная Осетия - Алания;2003;135.9
Чеченская Республика;2003;0
Ставропольский край;2003;633.3
Приволжский федеральный округ;2003;7603.9
Республика Башкортостан;2003;1467.7
Республика Марий Эл;2003;147.1
Республика Мордовия;2003;153.7
Республика Татарстан;2003;1561.7
Удмуртская Республика;2003;314.7
Чувашская Республика;2003;542.9
Пермский край;2003;415.5
Кировская область;2003;161.1
Нижегородская область ;2003;575.7
Оренбургская область;2003;521.7
Пензенская область;2003;235.1
Самарская область;2003;849.8
Саратовская область;2003;475
Ульяновская область;2003;182.2
Уральский         федеральный округ;2003;2810.8
Курганская область;2003;101.8
Свердловская область ;2003;778.7
Тюменская область;2003;1191.4
в том числе:;2003;0
Ханты-Мансийский автономный округ - Югра;2003;582.9
Ямало-Ненецкий автономный округ;2003;127.2
Тюменская область  без автономных округов;2003;481.3
Челябинская область;2003;738.9
Сибирский        федеральный округ;2003;2987
Республика Алтай;2003;23
Республика Тыва;2003;19.8
Республика Хакасия;2003;99.8
Алтайский край;2003;419.8
Красноярский край;2003;575.3
Иркутская область;2003;216.2
Кемеровская область;2003;512.4
Новосибирская область ;2003;566.3
Омская область;2003;318.2
Томская область;2003;235.9
Дальневосточный федеральный округ;2003;1100
Республика Бурятия;2003;184
Республика Саха (Якутия);2003;262.3
Забайкальский край;2003;101.8
Камчатский край;2003;12.5
Приморский край;2003;215.6
Хабаровский край ;2003;140
Амурская область;2003;104
Магаданская область;2003;7.1
Сахалинская область;2003;42.8
Еврейская автономная область;2003;10.5
Чукотский автономный округ;2003;19.5
Центральный федеральный округ;2004;15297.1
Белгородская область;2004;807.4
Брянская область;2004;229
Владимирская область;2004;324.3
Воронежская область;2004;702.5
Ивановская область;2004;90.1
Калужская область;2004;214.8
Костромская область;2004;81.7
Курская область;2004;285.6
Липецкая область;2004;421.2
Московская область;2004;5720.1
Орловская область;2004;241.6
Рязанская область;2004;270.6
Смоленская область;2004;263.6
Тамбовская область;2004;311.1
Тверская область;2004;321.4
Тульская область;2004;215.9
Ярославская область;2004;217.5
г. Москва;2004;4578.6
Северо-Западный федеральный округ;2004;3715.3
Республика Карелия;2004;94.9
Республика Коми;2004;140.5
Архангельская область;2004;105
в том числе: ;2004;0
Ненецкий автономный округ;2004;8.3
Архангельская область без автономного округа;2004;97
Вологодская область;2004;300.1
Калининградская область;2004;245
Ленинградская область;2004;510.8
Мурманская область;2004;6.5
Новгородская область;2004;148.2
Псковская область;2004;132.4
г. Санкт-Петербург;2004;2032
Южный             федеральный округ;2004;4159.3
Республика Адыгея;2004;39.6
Республика Калмыкия;2004;51.8
Республика Крым;2004;0
Краснодарский край;2004;1809.6
Астраханская область;2004;630.6
Волгоградская область;2004;508.5
Ростовская область;2004;1119.2
г. Севастополь;2004;0
Северо-Кавказский        федеральный округ;2004;1664.5
Республика Дагестан;2004;578
Республика Ингушетия;2004;17.8
Кабардино-Балкарская Республика;2004;221.4
Карачаево-Черкесская Республика;2004;63.2
Республика Северная Осетия - Алания;2004;136.2
Чеченская Республика;2004;0
Ставропольский край;2004;647.9
Приволжский федеральный округ;2004;8264.7
Республика Башкортостан;2004;1509.2
Республика Марий Эл;2004;161.8
Республика Мордовия;2004;155.9
Республика Татарстан;2004;1768.4
Удмуртская Республика;2004;360.9
Чувашская Республика;2004;625.2
Пермский край;2004;448.5
Кировская область;2004;230.4
Нижегородская область ;2004;684.3
Оренбургская область;2004;545.1
Пензенская область;2004;279.2
Самарская область;2004;854
Саратовская область;2004;484.5
Ульяновская область;2004;157.2
Уральский         федеральный округ;2004;3169.5
Курганская область;2004;97.4
Свердловская область ;2004;891
Тюменская область;2004;1373.8
в том числе:;2004;0
Ханты-Мансийский автономный округ - Югра;2004;703.8
Ямало-Ненецкий автономный округ;2004;151.1
Тюменская область  без автономных округов;2004;518.9
Челябинская область;2004;807.3
Сибирский        федеральный округ;2004;3551
Республика Алтай;2004;41.4
Республика Тыва;2004;17.4
Республика Хакасия;2004;103.8
Алтайский край;2004;354.1
Красноярский край;2004;662.8
Иркутская область;2004;266.8
Кемеровская область;2004;582
Новосибирская область ;2004;704.5
Омская область;2004;520.4
Томская область;2004;297.3
Дальневосточный федеральный округ;2004;1174
Республика Бурятия;2004;196.8
Республика Саха (Якутия);2004;239.8
Забайкальский край;2004;147.1
Камчатский край;2004;16.6
Приморский край;2004;215.2
Хабаровский край ;2004;180.8
Амурская область;2004;80.1
Магаданская область;2004;3.8
Сахалинская область;2004;58.7
Еврейская автономная область;2004;10.6
Чукотский автономный округ;2004;24.8
Центральный федеральный округ;2005;15257
Белгородская область;2005;831
Брянская область;2005;198
Владимирская область;2005;327
Воронежская область;2005;784
Ивановская область;2005;106
Калужская область;2005;263
Костромская область;2005;117
Курская область;2005;298
Липецкая область;2005;508
Московская область;2005;5297
Орловская область;2005;248
Рязанская область;2005;301
Смоленская область;2005;270
Тамбовская область;2005;350
Тверская область;2005;291
Тульская область;2005;199
Ярославская область;2005;224
г. Москва;2005;4649
Северо-Западный федеральный округ;2005;3981
Республика Карелия;2005;88
Республика Коми;2005;159
Архангельская область;2005;118
в том числе: ;2005;0
Ненецкий автономный округ;2005;33
Архангельская область без автономного округа;2005;85
Вологодская область;2005;293
Калининградская область;2005;266
Ленинградская область;2005;533
Мурманская область;2005;8
Новгородская область;2005;143
Псковская область;2005;100
г. Санкт-Петербург;2005;2273
Южный             федеральный округ;2005;4409
Республика Адыгея;2005;72
Республика Калмыкия;2005;49
Республика Крым;2005;0
Краснодарский край;2005;1940
Астраханская область;2005;648
Волгоградская область;2005;515
Ростовская область;2005;1186
г. Севастополь;2005;0
Северо-Кавказский        федеральный округ;2005;1804
Республика Дагестан;2005;628
Республика Ингушетия;2005;24
Кабардино-Балкарская Республика;2005;229
Карачаево-Черкесская Республика;2005;62
Республика Северная Осетия - Алания;2005;119
Чеченская Республика;2005;41
Ставропольский край;2005;701
Приволжский федеральный округ;2005;9142
Республика Башкортостан;2005;1608
Республика Марий Эл;2005;182
Республика Мордовия;2005;181
Республика Татарстан;2005;1642
Удмуртская Республика;2005;372
Чувашская Республика;2005;733
Пермский край;2005;638
Кировская область;2005;257
Нижегородская область ;2005;748
Оренбургская область;2005;581
Пензенская область;2005;316
Самарская область;2005;910
Саратовская область;2005;682
Ульяновская область;2005;293
Уральский         федеральный округ;2005;3569.1
Курганская область;2005;123.7
Свердловская область ;2005;1105
Тюменская область;2005;1321.8
в том числе:;2005;0
Ханты-Мансийский автономный округ - Югра;2005;582.2
Ямало-Ненецкий автономный округ;2005;182.6
Тюменская область  без автономных округов;2005;557
Челябинская область;2005;1018.6
Сибирский        федеральный округ;2005;4076
Республика Алтай;2005;34
Республика Тыва;2005;17
Республика Хакасия;2005;121
Алтайский край;2005;398
Красноярский край;2005;780
Иркутская область;2005;303
Кемеровская область;2005;641
Новосибирская область ;2005;704
Омская область;2005;756
Томская область;2005;321
Дальневосточный федеральный округ;2005;1266
Республика Бурятия;2005;201
Республика Саха (Якутия);2005;261
Забайкальский край;2005;131
Камчатский край;2005;13
Приморский край;2005;247
Хабаровский край ;2005;195
Амурская область;2005;125
Магаданская область;2005;9
Сахалинская область;2005;44
Еврейская автономная область;2005;16
Чукотский автономный округ;2005;24
Центральный федеральный округ;2006;17344.7
Белгородская область;2006;938.8
Брянская область;2006;246.3
Владимирская область;2006;341.3
Воронежская область;2006;854.3
Ивановская область;2006;179.4
Калужская область;2006;264.9
Костромская область;2006;109.3
Курская область;2006;326.7
Липецкая область;2006;620.7
Московская область;2006;6484
Орловская область;2006;252.6
Рязанская область;2006;376.6
Смоленская область;2006;297.2
Тамбовская область;2006;420.9
Тверская область;2006;354.3
Тульская область;2006;250.8
Ярославская область;2006;246.9
г. Москва;2006;4779.7
Северо-Западный федеральный округ;2006;4664.7
Республика Карелия;2006;109.6
Республика Коми;2006;176.9
Архангельская область;2006;193.2
в том числе: ;2006;0
Ненецкий автономный округ;2006;35
Архангельская область без автономного округа;2006;158
Вологодская область;2006;333.7
Калининградская область;2006;501.8
Ленинградская область;2006;671.4
Мурманская область;2006;13.7
Новгородская область;2006;163.1
Псковская область;2006;125.5
г. Санкт-Петербург;2006;2375.7
Южный             федеральный округ;2006;5504.6
Республика Адыгея;2006;42.1
Республика Калмыкия;2006;62.8
Республика Крым;2006;0
Краснодарский край;2006;2704.8
Астраханская область;2006;668.8
Волгоградская область;2006;638
Ростовская область;2006;1388.1
г. Севастополь;2006;0
Северо-Кавказский        федеральный округ;2006;2082.9
Республика Дагестан;2006;715.2
Республика Ингушетия;2006;23.9
Кабардино-Балкарская Республика;2006;229.3
Карачаево-Черкесская Республика;2006;80.6
Республика Северная Осетия - Алания;2006;157.9
Чеченская Республика;2006;80.3
Ставропольский край;2006;795.7
Приволжский федеральный округ;2006;10017.3
Республика Башкортостан;2006;1705.1
Республика Марий Эл;2006;229
Республика Мордовия;2006;213.2
Республика Татарстан;2006;1778.3
Удмуртская Республика;2006;423.9
Чувашская Республика;2006;854.5
Пермский край;2006;718.4
Кировская область;2006;308.5
Нижегородская область ;2006;826.5
Оренбургская область;2006;652.6
Пензенская область;2006;403.3
Самарская область;2006;754
Саратовская область;2006;810.1
Ульяновская область;2006;340
Уральский         федеральный округ;2006;4378.7
Курганская область;2006;148.7
Свердловская область ;2006;1284.2
Тюменская область;2006;1710.9
в том числе:;2006;0
Ханты-Мансийский автономный округ - Югра;2006;757.5
Ямало-Ненецкий автономный округ;2006;251.3
Тюменская область  без автономных округов;2006;702.1
Челябинская область;2006;1234.9
Сибирский        федеральный округ;2006;5037
Республика Алтай;2006;47.2
Республика Тыва;2006;24.1
Республика Хакасия;2006;138
Алтайский край;2006;440.6
Красноярский край;2006;898.5
Иркутская область;2006;331.1
Кемеровская область;2006;803.9
Новосибирская область ;2006;1073.2
Омская область;2006;906
Томская область;2006;374.5
Дальневосточный федеральный округ;2006;1487
Республика Бурятия;2006;217.4
Республика Саха (Якутия);2006;288.4
Забайкальский край;2006;179
Камчатский край;2006;31.5
Приморский край;2006;320
Хабаровский край ;2006;205.1
Амурская область;2006;138.6
Магаданская область;2006;13.8
Сахалинская область;2006;65.8
Еврейская автономная область;2006;21.1
Чукотский автономный округ;2006;6.6
Центральный федеральный округ;2007;19894
Белгородская область;2007;1064
Брянская область;2007;298.5
Владимирская область;2007;376
Воронежская область;2007;974.4
Ивановская область;2007;142
Калужская область;2007;458.2
Костромская область;2007;140.4
Курская область;2007;375.8
Липецкая область;2007;705
Московская область;2007;7805.2
Орловская область;2007;310
Рязанская область;2007;456.6
Смоленская область;2007;300.3
Тамбовская область;2007;501.7
Тверская область;2007;418.7
Тульская область;2007;322.2
Ярославская область;2007;420.3
г. Москва;2007;4824.6
Северо-Западный федеральный округ;2007;5659
Республика Карелия;2007;131.4
Республика Коми;2007;196.6
Архангельская область;2007;259.6
в том числе: ;2007;0
Ненецкий автономный округ;2007;36.7
