Субъект РФ ;Год;Грузооборот автомобильного транспорта организаций всех видов деятельности (млн. т.-км.);Пассажирооборот автобусов общего пользования (млн. пассажиро-км.)
Нижегородская область ;2007;2071;5482
Оренбургская область;2007;1259;3127
Пензенская область;2007;770;1532
Самарская область;2007;4937;1941
Саратовская область;2007;1655;3541
Ульяновская область;2007;1430;1485
Уральский         федеральный округ;2007;14945;14421
Курганская область;2007;463;769
Свердловская область ;2007;2764;4577
Тюменская область;2007;7814;5230
в том числе:;2007;0;0
Ханты-Мансийский автономный округ - Югра;2007;4341;2384
Ямало-Ненецкий автономный округ;2007;1472;714
Тюменская область  без автономных округов;2007;2001;2132
Челябинская область;2007;3904;3846
Сибирский        федеральный округ;2007;10944;20468
Республика Алтай;2007;103;93
Республика Тыва;2007;214;652
Республика Хакасия;2007;228;418
Алтайский край;2007;1101;1875
Красноярский край;2007;1995;3432
Иркутская область;2007;2244;2022
Кемеровская область;2007;1134;4765
Новосибирская область ;2007;1731;3180
Омская область;2007;1084;2444
Томская область;2007;1110;1587
Дальневосточный федеральный округ;2007;6357;6430
Республика Бурятия;2007;305;441
Республика Саха (Якутия);2007;1359;448
Забайкальский край;2007;673;796
Камчатский край;2007;206;341
Приморский край;2007;1195;1623
Хабаровский край ;2007;1206;1791
Амурская область;2007;729;456
Магаданская область;2007;181;76
Сахалинская область;2007;305;248
Еврейская автономная область;2007;158;200
Чукотский автономный округ;2007;40;11
Центральный федеральный округ;2008;26813.3719;38566
Белгородская область;2008;2057.4284;1716
Брянская область;2008;1196.2049;823
Владимирская область;2008;878.3811;1580
Воронежская область;2008;1310.7011;4534
Ивановская область;2008;416.3953;963
Калужская область;2008;597.334;750
Костромская область;2008;510.4694;951
Курская область;2008;751.3676;1035
Липецкая область;2008;955.1322;1305
Московская область;2008;5696.5846;8458
Орловская область;2008;1145.1975;725
Рязанская область;2008;519.1877;1252
Смоленская область;2008;2274.8168;1256
Тамбовская область;2008;491.1632;1065
Тверская область;2008;981.3646;909
Тульская область;2008;907.944;1938
Ярославская область;2008;672.5252;2315
г. Москва;2008;5451.1743;6990
Северо-Западный федеральный округ;2008;16344.5427;14632
Республика Карелия;2008;1430.1026;401
Республика Коми;2008;1381.8225;767
Архангельская область;2008;2074.756;907
в том числе: ;2008;0;0
Ненецкий автономный округ;2008;138.3363;16
Архангельская область без автономного округа;2008;1936.4197;892
Вологодская область;2008;1646.3018;1734
Калининградская область;2008;1218.9093;3268
Ленинградская область;2008;1791.2072;1480
Мурманская область;2008;324.7332;768
Новгородская область;2008;752.5675;948
Псковская область;2008;635.4828;573
г. Санкт-Петербург;2008;5088.6598;3786
Южный             федеральный округ;2008;13096;13719
Республика Адыгея;2008;294;270
Республика Калмыкия;2008;204;494
Республика Крым;2008;0;0
Краснодарский край;2008;7193;3664
Астраханская область;2008;366;1289
Волгоградская область;2008;1443;3708
Ростовская область;2008;3596;4293
г. Севастополь;2008;0;0
Северо-Кавказский        федеральный округ;2008;10650.7039;4694
Республика Дагестан;2008;596.4452;750
Республика Ингушетия;2008;55.5181;214
Кабардино-Балкарская Республика;2008;160;615
Карачаево-Черкесская Республика;2008;198;218
Республика Северная Осетия - Алания;2008;122;773
Чеченская Республика;2008;8023;303
Ставропольский край;2008;1495.7406;1822
Приволжский федеральный округ;2008;32149.5212;38949
Республика Башкортостан;2008;3288.661;5612
Республика Марий Эл;2008;399.1735;710
Республика Мордовия;2008;729.9366;662
Республика Татарстан;2008;5215.0539;4405
Удмуртская Республика;2008;1238.4809;1456
Чувашская Республика;2008;731.4035;1844
Пермский край;2008;4043.3378;4858
Кировская область;2008;1918.9466;1191
Нижегородская область ;2008;2147.2968;5913
Оренбургская область;2008;1352.3465;3216
Пензенская область;2008;1019.6847;1712
Самарская область;2008;6776.7905;1904
Саратовская область;2008;1816.5853;3790
Ульяновская область;2008;1471.8236;1675
Уральский         федеральный округ;2008;14276.0514;14008
Курганская область;2008;490.3087;889
Свердловская область ;2008;3426.3451;4795
Тюменская область;2008;7918.8116;5120
в том числе:;2008;0;0
Ханты-Мансийский автономный округ - Югра;2008;4718.1573;2445
Ямало-Ненецкий автономный округ;2008;1761.0087;768
Тюменская область  без автономных округов;2008;1439.6456;1907
Челябинская область;2008;2440.586;3203
Сибирский        федеральный округ;2008;10925.8958;21289
Республика Алтай;2008;99.2259;96
Республика Тыва;2008;235.3789;666
Республика Хакасия;2008;302.0663;428
Алтайский край;2008;1139.2247;2009
Красноярский край;2008;2186;4020
Иркутская область;2008;2365;2024
Кемеровская область;2008;1116;4787
Новосибирская область ;2008;1777;3242
Омская область;2008;824;2426
Томская область;2008;882;1592
Дальневосточный федеральный округ;2008;6287.8503;6288
Республика Бурятия;2008;346.3872;513
Республика Саха (Якутия);2008;1167.1667;430
Забайкальский край;2008;552;833
Камчатский край;2008;334.6382;312
Приморский край;2008;1234.1132;1618
Хабаровский край ;2008;1252.8313;1583
Амурская область;2008;756.7091;450
Магаданская область;2008;136.8992;77
Сахалинская область;2008;260.7361;261
Еврейская автономная область;2008;225.3693;201
Чукотский автономный округ;2008;21;11
Центральный федеральный округ;2009;27889.6403;36037
Белгородская область;2009;2514.4684;1592
Брянская область;2009;877.3715;764
Владимирская область;2009;741.0635;1391
Воронежская область;2009;1496.6071;4321
Ивановская область;2009;367.4877;860
Калужская область;2009;1140.7231;705
Костромская область;2009;403.7015;819
Курская область;2009;706.0729;1016
Липецкая область;2009;915.7093;1173
Московская область;2009;5786.7447;7943
Орловская область;2009;1147.6866;779
Рязанская область;2009;465.2488;1177
Смоленская область;2009;1307.8984;1048
Тамбовская область;2009;480.641;1077
Тверская область;2009;908.5407;825
Тульская область;2009;919.2488;1938
Ярославская область;2009;578.9774;2304
г. Москва;2009;7131.4489;6303
Северо-Западный федеральный округ;2009;14226.7211;13946
Республика Карелия;2009;1027.6529;223
Республика Коми;2009;1429.368;724
Архангельская область;2009;2011.0232;732
в том числе: ;2009;0;0
Ненецкий автономный округ;2009;111.5164;12
Архангельская область без автономного округа;2009;1899.5068;721
Вологодская область;2009;1160.1154;1414
Калининградская область;2009;1215.6386;3570
Ленинградская область;2009;2034.01;1518
Мурманская область;2009;273.6558;752
Новгородская область;2009;677.8616;835
Псковская область;2009;643.8196;498
г. Санкт-Петербург;2009;3753.576;3680
Южный             федеральный округ;2009;12347;13552
Республика Адыгея;2009;191;264
Республика Калмыкия;2009;180;434
Республика Крым;2009;0;0
Краснодарский край;2009;6755;3523
Астраханская область;2009;370;1401
Волгоградская область;2009;1207;3671
Ростовская область;2009;3644;4260
г. Севастополь;2009;0;0
Северо-Кавказский        федеральный округ;2009;5407;4799
Республика Дагестан;2009;678;796
Республика Ингушетия;2009;47;375
Кабардино-Балкарская Республика;2009;116;616
Карачаево-Черкесская Республика;2009;177;230
Республика Северная Осетия - Алания;2009;115;701
Чеченская Республика;2009;2688;306
Ставропольский край;2009;1586;1773
Приволжский федеральный округ;2009;27585.7999;34790
Республика Башкортостан;2009;2686.7591;4577
Республика Марий Эл;2009;416.8807;636
Республика Мордовия;2009;845.0517;642
Республика Татарстан;2009;4391.3227;3875
Удмуртская Республика;2009;989.0293;1222
Чувашская Республика;2009;628.9131;1575
Пермский край;2009;3310.4894;3833
Кировская область;2009;1596.6591;1102
Нижегородская область ;2009;1859.3973;5741
Оренбургская область;2009;1082.0086;2950
Пензенская область;2009;1000.9923;1800
Самарская область;2009;5396.4941;1571
Саратовская область;2009;1885.5164;3775
Ульяновская область;2009;1496.2861;1491
Уральский         федеральный округ;2009;15343.5474;11977
Курганская область;2009;524.2723;769
Свердловская область ;2009;2866.9163;3656
Тюменская область;2009;10055.4909;4948
в том числе:;2009;0;0
Ханты-Мансийский автономный округ - Югра;2009;4767.1858;2609
Ямало-Ненецкий автономный округ;2009;2629.9815;655
Тюменская область  без автономных округов;2009;2658.3236;1684
Челябинская область;2009;1896.8679;2604
Сибирский        федеральный округ;2009;12025.004;20006
Республика Алтай;2009;76.3322;86
Республика Тыва;2009;259.9629;656
Республика Хакасия;2009;278.0884;365
Алтайский край;2009;1212.1594;1936
Красноярский край;2009;2199.1352;3812
Иркутская область;2009;2802.5348;1878
Кемеровская область;2009;994.3908;4755
Новосибирская область ;2009;1230.6361;3067
Омская область;2009;631.0246;2059
Томская область;2009;2340.7396;1392
Дальневосточный федеральный округ;2009;5821.8129;6370
Республика Бурятия;2009;281.3849;746
Республика Саха (Якутия);2009;1024.5862;539
Забайкальский край;2009;571.5689;798
Камчатский край;2009;273.0141;344
Приморский край;2009;1039;1413
Хабаровский край ;2009;951.7698;1539
Амурская область;2009;659.1712;414
Магаданская область;2009;274.3071;69
Сахалинская область;2009;240.1352;306
Еврейская автономная область;2009;477.0683;195
Чукотский автономный округ;2009;29.8072;7
Центральный федеральный округ;2010;31086;35343
Белгородская область;2010;3364;1517
Брянская область;2010;1002;693
Владимирская область;2010;879;1280
Воронежская область;2010;1275;4241
Ивановская область;2010;643;900
Калужская область;2010;974;708
Костромская область;2010;405;827
Курская область;2010;763;1019
Липецкая область;2010;901;1160
Московская область;2010;6008;7504
Орловская область;2010;1350;732
Рязанская область;2010;561;1035
Смоленская область;2010;1555;1122
Тамбовская область;2010;422;1086
Тверская область;2010;1083;1014
Тульская область;2010;1127;1912
Ярославская область;2010;725;2356
г. Москва;2010;8051;6238
Северо-Западный федеральный округ;2010;18155;13417
Республика Карелия;2010;997;129
Республика Коми;2010;1415;756
Архангельская область;2010;3056;789
в том числе: ;2010;0;0
Ненецкий автономный округ;2010;229;8
Архангельская область без автономного округа;2010;2827;781
Вологодская область;2010;1716;1220
Калининградская область;2010;1377;3265
Ленинградская область;2010;1892;1444
Мурманская область;2010;377;758
Новгородская область;2010;794;866
Псковская область;2010;879;541
г. Санкт-Петербург;2010;5652;3650
Южный             федеральный округ;2010;13418;13537
Республика Адыгея;2010;262;262
Республика Калмыкия;2010;94;387
Республика Крым;2010;0;0
Краснодарский край;2010;7535;3537
Астраханская область;2010;325;1390
Волгоградская область;2010;1173;3548
Ростовская область;2010;4029;4414
г. Севастополь;2010;0;0
Северо-Кавказский        федеральный округ;2010;4327;4570
Республика Дагестан;2010;454;776
Республика Ингушетия;2010;33;134
Кабардино-Балкарская Республика;2010;139;573
Карачаево-Черкесская Республика;2010;198;219
Республика Северная Осетия - Алания;2010;181;699
Чеченская Республика;2010;1872;389
Ставропольский край;2010;1451;1781
Приволжский федеральный округ;2010;28494;35442
Республика Башкортостан;2010;2649;4437
Республика Марий Эл;2010;369;576
Республика Мордовия;2010;787;769
Республика Татарстан;2010;5053;4131
Удмуртская Республика;2010;781;1266
Чувашская Республика;2010;644;1632
Пермский край;2010;3256;4418
Кировская область;2010;1576;1030
Нижегородская область ;2010;1909;5708
Оренбургская область;2010;1172;2777
Пензенская область;2010;976;1674
Самарская область;2010;5596;1361
Саратовская область;2010;2095;4007
Ульяновская область;2010;1631;1656
Уральский         федеральный округ;2010;15515;12008
Курганская область;2010;465;718
Свердловская область ;2010;3148;3635
Тюменская область;2010;9640;4996
в том числе:;2010;0;0
Ханты-Мансийский автономный округ - Югра;2010;5465;2633
Ямало-Ненецкий автономный округ;2010;2122;646
Тюменская область  без автономных округов;2010;2053;1717
Челябинская область;2010;2262;2659
Сибирский        федеральный округ;2010;15032;19833
Республика Алтай;2010;85;105
Республика Тыва;2010;271;657
Республика Хакасия;2010;359;409
Алтайский край;2010;1421;1959
Красноярский край;2010;2780;3968
Иркутская область;2010;2554;2029
Кемеровская область;2010;1128;4642
Новосибирская область ;2010;1339;3057
Омская область;2010;689;1780
Томская область;2010;4407;1227
Дальневосточный федеральный округ;2010;6608;6461
Республика Бурятия;2010;275;715
Республика Саха (Якутия);2010;1096;448
Забайкальский край;2010;747;808
Камчатский край;2010;394;348
Приморский край;2010;1174;1416
Хабаровский край ;2010;934;1709
Амурская область;2010;983;433
Магаданская область;2010;276;68
Сахалинская область;2010;208;314
Еврейская автономная область;2010;489;196
Чукотский автономный округ;2010;33;6
Центральный федеральный округ;2011;37856.5877;34509
Белгородская область;2011;3293.933;1530
Брянская область;2011;1068.7757;664
Владимирская область;2011;984.8304;1210
Воронежская область;2011;1664.5957;4102
Ивановская область;2011;751.8738;879
Калужская область;2011;1009.5094;760
Костромская область;2011;449.8433;846
Курская область;2011;881.4446;1081
Липецкая область;2011;1044.0959;1109
Московская область;2011;9734.9673;7569
Орловская область;2011;1539.0815;581
Рязанская область;2011;679.0266;1034
Смоленская область;2011;1771.3989;1040
Тамбовская область;2011;658.5421;1094
Тверская область;2011;1412.0624;921
Тульская область;2011;1603.1471;1621
Ярославская область;2011;773.6336;2205
г. Москва;2011;8535.8264;6263
Северо-Западный федеральный округ;2011;21641.9626;12303
Республика Карелия;2011;1039.5973;142
Республика Коми;2011;1337.0012;769
Архангельская область;2011;3348.2933;789
в том числе: ;2011;0;0
Ненецкий автономный округ;2011;199.1821;8
Архангельская область без автономного округа;2011;3149.1112;781
Вологодская область;2011;1807.2069;1185
Калининградская область;2011;1573.9711;2336
Ленинградская область;2011;2294.6278;1319
Мурманская область;2011;400.2792;721
Новгородская область;2011;1086.3848;772
Псковская область;2011;991.1909;534
г. Санкт-Петербург;2011;7763.4101;3736
Южный             федеральный округ;2011;13617.737;13938
Республика Адыгея;2011;298.9524;219
Республика Калмыкия;2011;87.8746;427
Республика Крым;2011;0;0
Краснодарский край;2011;7410.6771;4260
Астраханская область;2011;378.1607;1305
Волгоградская область;2011;1419.276;3439
Ростовская область;2011;4022.7962;4288
г. Севастополь;2011;0;0
Северо-Кавказский        федеральный округ;2011;4048.4991;4506
Республика Дагестан;2011;471.3141;812
Республика Ингушетия;2011;38.4655;120
Кабардино-Балкарская Республика;2011;123.6511;479
Карачаево-Черкесская Республика;2011;229.6447;211
Республика Северная Осетия - Алания;2011;161.3618;706
Чеченская Республика;2011;1357.3896;397
Ставропольский край;2011;1666.6723;1781
Приволжский федеральный округ;2011;30818.6353;35581
Республика Башкортостан;2011;2875.698;4101
Республика Марий Эл;2011;526.3991;568
Республика Мордовия;2011;1231.534;861
Республика Татарстан;2011;5157.7893;4030
Удмуртская Республика;2011;759.7303;1366
Чувашская Республика;2011;675.0336;1598
Пермский край;2011;3007.9776;4753
Кировская область;2011;1625.313;1026
Нижегородская область ;2011;2531.0948;5573
Оренбургская область;2011;1305.9087;2742
Пензенская область;2011;1108.9079;1706
Самарская область;2011;5793.5085;1476
Саратовская область;2011;2166.0243;4078
Ульяновская область;2011;2053.7162;1703
Уральский         федеральный округ;2011;23440.6032;11771
Курганская область;2011;508.2895;698
Свердловская область ;2011;5138.5005;3210
Тюменская область;2011;14772.9923;4746
в том числе:;2011;0;0
Ханты-Мансийский автономный округ - Югра;2011;7613.5634;1786
Ямало-Ненецкий автономный округ;2011;2333.6792;796
Тюменская область  без автономных округов;2011;4825.7497;2164
Челябинская область;2011;3020.8209;3119
Сибирский        федеральный округ;2011;17464.2295;19672
Республика Алтай;2011;105.0806;106
Республика Тыва;2011;321.8892;649
Республика Хакасия;2011;410.7723;394
Алтайский край;2011;1698.7686;2105
Красноярский край;2011;2847.8813;3958
Иркутская область;2011;3532.8691;2116
Кемеровская область;2011;1261.2455;4554
Новосибирская область ;2011;1443.43;3031
Омская область;2011;844.8794;1580
Томская область;2011;4997.4135;1179
Дальневосточный федеральный округ;2011;6432.9603;6308
Республика Бурятия;2011;293.4721;733
Республика Саха (Якутия);2011;1516.4687;450
Забайкальский край;2011;805.6619;845
Камчатский край;2011;78.7132;374
Приморский край;2011;1214.7409;1294
Хабаровский край ;2011;943.9459;1620
Амурская область;2011;541.3611;443
Магаданская область;2011;292.4352;62
Сахалинская область;2011;214.9096;277
Еврейская автономная область;2011;506.2517;204
Чукотский автономный округ;2011;25;6
Центральный федеральный округ;2012;36168;32941
Белгородская область;2012;3322;1522
Брянская область;2012;1057;585
Владимирская область;2012;1057;1188
Воронежская область;2012;1548;3614
Ивановская область;2012;1073;747
Калужская область;2012;1093;679
Костромская область;2012;502;873
Курская область;2012;995;1112
Липецкая область;2012;1146;1097
Московская область;2012;6780;7407
Орловская область;2012;2288;531
Рязанская область;2012;686;980
Смоленская область;2012;2013;994
Тамбовская область;2012;977;1095
Тверская область;2012;1965;827
Тульская область;2012;1439;1548
Ярославская область;2012;972;2065
г. Москва;2012;7255;6077
Северо-Западный федеральный округ;2012;38482;11367
Республика Карелия;2012;1963;251
Республика Коми;2012;1529;825
Архангельская область;2012;3615;777
в том числе: ;2012;0;0
Ненецкий автономный округ;2012;130;11
Архангельская область без автономного округа;2012;3485;766
Вологодская область;2012;1928;1105
Калининградская область;2012;2800;2122
Ленинградская область;2012;3130;1324
Мурманская область;2012;412;631
Новгородская область;2012;1343;639
Псковская область;2012;1027;527
г. Санкт-Петербург;2012;20735;3166
Южный             федеральный округ;2012;14983;13855
Республика Адыгея;2012;312;175
Республика Калмыкия;2012;88;445
Республика Крым;2012;0;0
Краснодарский край;2012;7872;4524
Астраханская область;2012;344;1193
Волгоградская область;2012;1497;3284
Ростовская область;2012;4870;4234
г. Севастополь;2012;0;0
Северо-Кавказский        федеральный округ;2012;4182;4345
Республика Дагестан;2012;515;850
Республика Ингушетия;2012;22;124
Кабардино-Балкарская Республика;2012;89;435
Карачаево-Черкесская Республика;2012;350;207
Республика Северная Осетия - Алания;2012;170;637
Чеченская Республика;2012;937;455
Ставропольский край;2012;2097;1637
Приволжский федеральный округ;2012;33933;35124
Республика Башкортостан;2012;3431;3784
Республика Марий Эл;2012;787;458
Республика Мордовия;2012;2353;685
Республика Татарстан;2012;5301;3683
Удмуртская Республика;2012;1094;1414
Чувашская Республика;2012;902;1453
Пермский край;2012;3273;5831
Кировская область;2012;1742;977
Нижегородская область ;2012;2430;5501
Оренбургская область;2012;1358;2581
Пензенская область;2012;1387;1389
Самарская область;2012;5392;2595
Саратовская область;2012;2344;2856
Ульяновская область;2012;2138;1915
Уральский         федеральный округ;2012;25955;11138
Курганская область;2012;611;669
Свердловская область ;2012;5568;3177
Тюменская область;2012;15976;4478
в том числе:;2012;0;0
Ханты-Мансийский автономный округ - Югра;2012;9605;2019
Ямало-Ненецкий автономный округ;2012;3159;805
Тюменская область  без автономных округов;2012;3212;1654
Челябинская область;2012;3800;2813
Сибирский        федеральный округ;2012;16627;18177
Республика Алтай;2012;77;74
Республика Тыва;2012;293;658
Республика Хакасия;2012;387;353
Алтайский край;2012;1645;1994
Красноярский край;2012;3186;2583
Иркутская область;2012;3018;2071
Кемеровская область;2012;1395;4257
Новосибирская область ;2012;1725;3476
Омская область;2012;812;1605
Томская область;2012;4088;1107
Дальневосточный федеральный округ;2012;7203;6327
Республика Бурятия;2012;346;715
Республика Саха (Якутия);2012;1710;450
Забайкальский край;2012;877;852
Камчатский край;2012;87;413
Приморский край;2012;1253;1347
Хабаровский край ;2012;1144;1575
Амурская область;2012;632;421
Магаданская область;2012;229;59
Сахалинская область;2012;389;280
Еврейская автономная область;2012;510;208
Чукотский автономный округ;2012;25;6
Центральный федеральный округ;2013;38553;30630
Белгородская область;2013;3245;1424
Брянская область;2013;1120;451
Владимирская область;2013;1066;1102
Воронежская область;2013;1960;3286
Ивановская область;2013;1232;537
Калужская область;2013;781;599
Костромская область;2013;577;724
Курская область;2013;1017;965
Липецкая область;2013;1254;1036
Московская область;2013;8506;7119
Орловская область;2013;2024;537
Рязанская область;2013;583;822
Смоленская область;2013;2545;873
Тамбовская область;2013;1108;1071
Тверская область;2013;1788;669
Тульская область;2013;1818;1177
Ярославская область;2013;886;2000
г. Москва;2013;7043;6239
Северо-Западный федеральный округ;2013;19447;10859
Республика Карелия;2013;1465;243
Республика Коми;2013;1373;743
Архангельская область;2013;4225;518
в том числе: ;2013;0;0
Ненецкий автономный округ;2013;76;9
Архангельская область без автономного округа;2013;4149;509
Вологодская область;2013;1741;947
Калининградская область;2013;2535;1586
Ленинградская область;2013;2200;1369
Мурманская область;2013;620;596
Новгородская область;2013;1432;653
Псковская область;2013;831;550
г. Санкт-Петербург;2013;3025;3655
Южный             федеральный округ;2013;16014;16508
Республика Адыгея;2013;284;137
Республика Калмыкия;2013;87;401
Республика Крым;2013;0;0
Краснодарский край;2013;7524;4329
Астраханская область;2013;337;4895
Волгоградская область;2013;1923;3080
Ростовская область;2013;5859;3667
г. Севастополь;2013;0;0
Северо-Кавказский        федеральный округ;2013;3867;4231
Республика Дагестан;2013;451;626
Республика Ингушетия;2013;10;284
Кабардино-Балкарская Республика;2013;62;431
Карачаево-Черкесская Республика;2013;351;184
Республика Северная Осетия - Алания;2013;127;601
Чеченская Республика;2013;937;469
Ставропольский край;2013;1929;1636
Приволжский федеральный округ;2013;32019;31913
Республика Башкортостан;2013;3609;3717
Республика Марий Эл;2013;651;440
Республика Мордовия;2013;1667;683
Республика Татарстан;2013;5361;2923
Удмуртская Республика;2013;1707;1489
Чувашская Республика;2013;857;1411
Пермский край;2013;3073;5021
Кировская область;2013;1409;880
Нижегородская область ;2013;2547;4021
Оренбургская область;2013;1184;2424
Пензенская область;2013;1685;1391
Самарская область;2013;3939;2240
Саратовская область;2013;2203;3673
Ульяновская область;2013;2127;1598
Уральский         федеральный округ;2013;20624;10454
Курганская область;2013;638;656
Свердловская область ;2013;5343;3302
Тюменская область;2013;10664;3733
в том числе:;2013;0;0
Ханты-Мансийский автономный округ - Югра;2013;5750;1602
Ямало-Ненецкий автономный округ;2013;2346;639
Тюменская область  без автономных округов;2013;2568;1492
Челябинская область;2013;3979;2763
Сибирский        федеральный округ;2013;16834;15124
Республика Алтай;2013;60;53
Республика Тыва;2013;258;654
Республика Хакасия;2013;1679;323
Алтайский край;2013;1397;1838
Красноярский край;2013;3447;2443
Иркутская область;2013;2267;2064
Кемеровская область;2013;1431;4119
Новосибирская область ;2013;1881;1319
Омская область;2013;1294;1331
Томская область;2013;3120;982
Дальневосточный федеральный округ;2013;7014;6322
Республика Бурятия;2013;410;1073
Республика Саха (Якутия);2013;1517;473
Забайкальский край;2013;813;764
Камчатский край;2013;41;434
Приморский край;2013;1375;1229
Хабаровский край ;2013;1135;1395
Амурская область;2013;518;388
Магаданская область;2013;210;58
Сахалинская область;2013;438;288
Еврейская автономная область;2013;524;212
Чукотский автономный округ;2013;32;7
Центральный федеральный округ;2014;39339;29965
Белгородская область;2014;3352;1233
Брянская область;2014;1277;729
Владимирская область;2014;1011;1003
Воронежская область;2014;1954;2996
Ивановская область;2014;1018;580
Калужская область;2014;901;591
Костромская область;2014;389;640
Курская область;2014;1022;907
Липецкая область;2014;1207;901
Московская область;2014;9126;6976
Орловская область;2014;1976;484
Рязанская область;2014;592;787
Смоленская область;2014;2517;846
Тамбовская область;2014;1497;1251
Тверская область;2014;2048;691
Тульская область;2014;1531;1172
Ярославская область;2014;1019;1977
г. Москва;2014;6902;6201
Северо-Западный федеральный округ;2014;19443;10571
Республика Карелия;2014;1621;377
Республика Коми;2014;1209;846
Архангельская область;2014;3503;820
в том числе: ;2014;0;0
Ненецкий автономный округ;2014;34;19
Архангельская область без автономного округа;2014;3469;801
Вологодская область;2014;1785;842
Калининградская область;2014;2363;1600
Ленинградская область;2014;2590;1324
Мурманская область;2014;472;606
Новгородская область;2014;1579;634
Псковская область;2014;847;459
г. Санкт-Петербург;2014;3474;3064
Южный             федеральный округ;2014;16615;18872
Республика Адыгея;2014;363;114
Республика Калмыкия;2014;79;367
Республика Крым;2014;250;2607
Краснодарский край;2014;7013;4208
Астраханская область;2014;450;5385
Волгоградская область;2014;2052;2342
Ростовская область;2014;6321;3479
г. Севастополь;2014;87;371
Северо-Кавказский        федеральный округ;2014;4194;4136
Республика Дагестан;2014;537;453
Республика Ингушетия;2014;16;145
Кабардино-Балкарская Республика;2014;52;578
Карачаево-Черкесская Республика;2014;571;172
Республика Северная Осетия - Алания;2014;137;605
Чеченская Республика;2014;832;465
Ставропольский край;2014;2049;1719
Приволжский федеральный округ;2014;31244;31489
Республика Башкортостан;2014;3443;4164
Республика Марий Эл;2014;674;259
Республика Мордовия;2014;1357;547
Республика Татарстан;2014;5098;3023
Удмуртская Республика;2014;1764;1385
Чувашская Республика;2014;906;1282
Пермский край;2014;2857;4228
Кировская область;2014;1374;895
Нижегородская область ;2014;2398;4524
Оренбургская область;2014;1376;2557
Пензенская область;2014;1806;1448
Самарская область;2014;3912;1842
Саратовская область;2014;2146;3755
Ульяновская область;2014;2133;1580
Уральский         федеральный округ;2014;26743;8856
Курганская область;2014;732;570
Свердловская область ;2014;6201;2955
Тюменская область;2014;16498;3149
в том числе:;2014;0;0
Ханты-Мансийский автономный округ - Югра;2014;10510;1281
Ямало-Ненецкий автономный округ;2014;2762;365
Тюменская область  без автономных округов;2014;3226;1503
Челябинская область;2014;3312;2182
Сибирский        федеральный округ;2014;18000;16716
Республика Алтай;2014;140;138
Республика Тыва;2014;294;676
Республика Хакасия;2014;1729;415
Алтайский край;2014;1577;1799
Красноярский край;2014;4441;3281
Иркутская область;2014;2248;1779
Кемеровская область;2014;1333;4014
Новосибирская область ;2014;1921;1981
Омская область;2014;1675;1709
Томская область;2014;2642;924
Дальневосточный федеральный округ;2014;7280;6485
Республика Бурятия;2014;460;1690
Республика Саха (Якутия);2014;1668;456
Забайкальский край;2014;834;843
Камчатский край;2014;40;423
Приморский край;2014;1264;1066
Хабаровский край ;2014;1100;1260
Амурская область;2014;525;368
Магаданская область;2014;219;64
Сахалинская область;2014;462;202
Еврейская автономная область;2014;461;106
Чукотский автономный округ;2014;248;6
Центральный федеральный округ;2015;38555;28928
Белгородская область;2015;3428.2742;1118
Брянская область;2015;1236.4522;639
Владимирская область;2015;897.0847;988
Воронежская область;2015;2180.277;2957
Ивановская область;2015;895.7725;606
Калужская область;2015;834.3287;539
Костромская область;2015;432.3197;632
Курская область;2015;1013.955;784
Липецкая область;2015;1256.7346;881
Московская область;2015;8630.7617;7041
Орловская область;2015;2034.2655;548
Рязанская область;2015;591.9706;757
Смоленская область;2015;2609.7203;807
Тамбовская область;2015;1766.1104;1268
Тверская область;2015;1598.1074;604
Тульская область;2015;1582.1908;1184
Ярославская область;2015;937.507;1515
г. Москва;2015;6630.4168;6059
