Субъект РФ;Год;Среднегодовая численность занятых (тыс. чел);Численность безработных (тыс. чел);Численность незанятых граждан, состоящих на учете в органах службы занятости населения в целях поиска подходящей работы (тыс. чел)
Республика Ингушетия;2005;64.8;111;53
Кабардино-Балкарская Республика;2005;310.6;91;39.5
Карачаево-Черкесская Республика;2005;162.7;29;6
Республика Северная Осетия - Алания;2005;295.8;29;18.8
Чеченская Республика;2005;…;…;341.4
Ставропольский край;2005;1169.2;89;31
Приволжский федеральный округ;2005;14453.1;1164;276.4
Республика Башкортостан;2005;1797.6;143;30.6
Республика Марий Эл;2005;334.4;38;7.2
Республика Мордовия;2005;399.1;29;7.9
Республика Татарстан;2005;1773.5;125;31.3
Удмуртская Республика;2005;764.8;64;23.9
Чувашская Республика;2005;597.5;77;13.8
Пермский край;2005;1311;113;24.3
Кировская область;2005;707.2;57;24.4
Нижегородская область ;2005;1728.9;107;16
Оренбургская область;2005;1000.5;96;9.1
Пензенская область;2005;685.4;47;11
Самарская область;2005;1579;93;30.7
Саратовская область;2005;1169.5;121;23.9
Ульяновская область;2005;604.9;54;22.3
Уральский         федеральный округ;2005;6068.4;431;144.4
Курганская область;2005;424.4;55;13.2
Свердловская область ;2005;2093.7;159;47.1
Тюменская область;2005;1890.6;122;43.7
в том числе:;2005;0;0;0
Ханты-Мансийский автономный округ - Югра;2005;877.1;67;20.3
Ямало-Ненецкий автономный округ;2005;359.7;22;9.1
Тюменская область  без автономных округов;2005;653.8;32;14.2
Челябинская область;2005;1659.6;95;40.5
Сибирский        федеральный округ;2005;8016.5;835;318.9
Республика Алтай;2005;84.9;9;5.1
Республика Тыва;2005;103.9;29;13
Республика Хакасия;2005;241.1;25;9.1
Алтайский край;2005;1105.1;113;79.4
Красноярский край;2005;1418.8;152;52.6
Иркутская область;2005;1141.7;128;37
Кемеровская область;2005;1295.2;127;52.1
Новосибирская область ;2005;1221.7;108;23.8
Омская область;2005;939.1;90;23.1
Томская область;2005;465.1;55;23.8
Дальневосточный федеральный округ;2005;4125.1;375;165
Республика Бурятия;2005;386.6;55;14.8
Республика Саха (Якутия);2005;471.8;45;11.8
Забайкальский край;2005;476;49;13.1
Камчатский край;2005;179.5;17;9.1
Приморский край;2005;980.2;86;48.1
Хабаровский край ;2005;717.4;43;34.5
Амурская область;2005;424.2;41;20.1
Магаданская область;2005;93.8;7;5.5
Сахалинская область;2005;277.7;24;5.2
Еврейская автономная область;2005;79.3;7;1.4
Чукотский автономный округ;2005;38.5;1;1.4
Центральный федеральный округ;2006;18466.7;815;276.8
Белгородская область;2006;677.4;43;12
Брянская область;2006;603.3;45;12.2
Владимирская область;2006;708;86;15.8
Воронежская область;2006;1057.1;64;25.3
Ивановская область;2006;488.8;23;12.3
Калужская область;2006;477.5;30;4.3
Костромская область;2006;323.8;18;5.3
Курская область;2006;594.3;42;8.2
Липецкая область;2006;547.2;30;5.4
Московская область;2006;2771.6;111;35.6
Орловская область;2006;407.1;25;6.6
Рязанская область;2006;520.4;28;8
Смоленская область;2006;479.3;44;6.1
Тамбовская область;2006;507.6;49;15.7
Тверская область;2006;613.6;33;8.4
Тульская область;2006;777.9;23;7.7
Ярославская область;2006;668.8;21;12.8
г. Москва;2006;6242.9;99;75.2
Северо-Западный федеральный округ;2006;6785.8;373;146.2
Республика Карелия;2006;343.2;12;12.9
Республика Коми;2006;465.6;65;14.6
Архангельская область;2006;613.5;41;16.1
в том числе: ;2006;0;0;0
Ненецкий автономный округ;2006;29.5;1;0.6
Архангельская область без автономного округа;2006;584;39;15.4
Вологодская область;2006;610.4;36;11.8
Калининградская область;2006;461.8;22;8
Ленинградская область;2006;746.8;54;10
Мурманская область;2006;431.2;33;17.9
Новгородская область;2006;310.5;19;5.1
Псковская область;2006;332.6;27;11.3
г. Санкт-Петербург;2006;2470.2;64;38.5
Южный             федеральный округ;2006;6077.4;563;107.6
Республика Адыгея;2006;153.3;28;10.3
Республика Калмыкия;2006;116.7;25;5.7
Республика Крым;2006;0;0;0
Краснодарский край;2006;2197.7;178;20.1
Астраханская область;2006;449.9;42;14.7
Волгоградская область;2006;1256.2;117;23.7
Ростовская область;2006;1903.6;173;33.1
г. Севастополь;2006;0;0;0
Северо-Кавказский        федеральный округ;2006;2903.6;915;525.5
Республика Дагестан;2006;882;270;55.8
Республика Ингушетия;2006;65.3;64;51.3
Кабардино-Балкарская Республика;2006;309.7;89;34.2
Карачаево-Черкесская Республика;2006;164.5;41;6.2
Республика Северная Осетия - Алания;2006;296;26;12.4
Чеченская Республика;2006;…;311;328
Ставропольский край;2006;1186.2;115;37.7
Приволжский федеральный округ;2006;14578.6;1020;243.8
Республика Башкортостан;2006;1846.2;130;29.7
Республика Марий Эл;2006;328.6;36;5.5
Республика Мордовия;2006;396.6;20;7
Республика Татарстан;2006;1803.9;105;27.8
Удмуртская Республика;2006;767;71;20.1
Чувашская Республика;2006;598.3;58;12.6
Пермский край;2006;1323.9;99;24.3
Кировская область;2006;699.1;61;16.2
Нижегородская область ;2006;1755.1;96;15.3
Оренбургская область;2006;1013.2;68;11.3
Пензенская область;2006;680.3;46;9.8
Самарская область;2006;1586.8;75;25.1
Саратовская область;2006;1173.4;108;22.2
Ульяновская область;2006;606.3;46;17
Уральский         федеральный округ;2006;6050.5;443;125.7
Курганская область;2006;419.1;57;15.1
Свердловская область ;2006;2084.9;167;42.2
Тюменская область;2006;1876.7;125;37.2
в том числе:;2006;0;0;0
Ханты-Мансийский автономный округ - Югра;2006;879.4;53;17.5
Ямало-Ненецкий автономный округ;2006;355.9;17;7.5
Тюменская область  без автономных округов;2006;641.3;55;12.2
Челябинская область;2006;1669.8;93;31.2
Сибирский        федеральный округ;2006;8032.6;769;316
Республика Алтай;2006;86.7;11;6
Республика Тыва;2006;103.8;26;12.4
Республика Хакасия;2006;243.6;24;8.5
Алтайский край;2006;1104.6;114;81.5
Красноярский край;2006;1416;138;50.8
Иркутская область;2006;1131.5;108;41.5
Кемеровская область;2006;1305.1;107;44.5
Новосибирская область ;2006;1229.8;101;26.8
Омская область;2006;941.3;92;23.6
Томская область;2006;470.3;47;20.3
Дальневосточный федеральный округ;2006;4151.4;352;169.3
Республика Бурятия;2006;390.8;64;16.1
Республика Саха (Якутия);2006;476.6;47;14.2
Забайкальский край;2006;483;33;16.4
Камчатский край;2006;177.5;16;8.1
Приморский край;2006;979.1;82;44.8
Хабаровский край ;2006;722.8;44;32.2
Амурская область;2006;425.7;35;24.3
Магаданская область;2006;93.7;5;5.2
Сахалинская область;2006;283.9;15;4.8
Еврейская автономная область;2006;81.1;8;1.7
Чукотский автономный округ;2006;37.3;1;1.4
Центральный федеральный округ;2007;18753;636;229.9
Белгородская область;2007;685.3;31;9.1
Брянская область;2007;607.7;42;9.1
Владимирская область;2007;707;54;15.1
Воронежская область;2007;1061.9;59;22.2
Ивановская область;2007;504.9;24;13.8
Калужская область;2007;479.1;27;4.3
Костромская область;2007;324.5;12;7.2
Курская область;2007;592.7;29;7.5
Липецкая область;2007;547.2;17;5.8
Московская область;2007;2860.1;79;28.2
Орловская область;2007;405.4;23;6.2
Рязанская область;2007;516.5;22;7.4
Смоленская область;2007;485.1;37;5.9
Тамбовская область;2007;505.3;50;11.3
Тверская область;2007;612.7;30;6.9
Тульская область;2007;788.9;22;7.5
Ярославская область;2007;672;24;11.6
г. Москва;2007;6396.8;52;50.7
Северо-Западный федеральный округ;2007;6846.3;317;136.8
Республика Карелия;2007;341.5;22;10.5
Республика Коми;2007;469.1;54;14.1
Архангельская область;2007;613.1;37;16.2
в том числе: ;2007;0;0;0
Ненецкий автономный округ;2007;32.6;2;0.6
Архангельская область без автономного округа;2007;580.5;35;15.6
Вологодская область;2007;613.7;26;11.4
Калининградская область;2007;473.2;18;7.2
Ленинградская область;2007;753.6;37;7.9
Мурманская область;2007;430.1;30;15.9
Новгородская область;2007;313.6;18;4.8
Псковская область;2007;335.1;18;7.1
г. Санкт-Петербург;2007;2503.4;58;41.6
Южный             федеральный округ;2007;6139.4;490;101.5
Республика Адыгея;2007;153.2;21;8.8
Республика Калмыкия;2007;116.7;22;5.8
Республика Крым;2007;0;0;0
Краснодарский край;2007;2237.3;168;27.2
Астраханская область;2007;457.9;45;9.6
Волгоградская область;2007;1259.1;86;21.6
Ростовская область;2007;1915.1;147;28.5
г. Севастополь;2007;0;0;0
Северо-Кавказский        федеральный округ;2007;3176;807;515.7
Республика Дагестан;2007;902.8;253;53.7
Республика Ингушетия;2007;65.5;66;55.6
Кабардино-Балкарская Республика;2007;312.2;73;31.3
Карачаево-Черкесская Республика;2007;165.3;41;7.9
Республика Северная Осетия - Алания;2007;294.5;31;18.8
Чеченская Республика;2007;227.5;255;320
Ставропольский край;2007;1208.3;89;28.4
Приволжский федеральный округ;2007;14646.9;959;223.9
Республика Башкортостан;2007;1856.4;132;28.8
Республика Марий Эл;2007;329;35;4.6
Республика Мордовия;2007;395.3;16;6.1
Республика Татарстан;2007;1825.5;108;26.9
Удмуртская Республика;2007;766.3;68;14.6
Чувашская Республика;2007;599.6;61;10.4
Пермский край;2007;1333.2;92;29
Кировская область;2007;694.9;44;13
Нижегородская область ;2007;1760.9;82;13.3
Оренбургская область;2007;1019.2;75;9
Пензенская область;2007;677.3;36;6.8
Самарская область;2007;1592.4;75;27.4
Саратовская область;2007;1189.5;105;20.9
Ульяновская область;2007;607.3;31;12.9
Уральский         федеральный округ;2007;6054;316;107.5
Курганская область;2007;409.4;37;13.3
Свердловская область ;2007;2092.4;125;38.3
Тюменская область;2007;1880.8;110;26.8
в том числе:;2007;0;0;0
Ханты-Мансийский автономный округ - Югра;2007;880.6;67;11.8
Ямало-Ненецкий автономный округ;2007;357.2;9;6.1
Тюменская область  без автономных округов;2007;642.9;34;8.9
Челябинская область;2007;1671.4;44;29.1
Сибирский        федеральный округ;2007;8105.3;659;270.8
Республика Алтай;2007;92;9;5.2
Республика Тыва;2007;105;22;11.2
Республика Хакасия;2007;244.7;18;8.1
Алтайский край;2007;1108.7;82;65
Красноярский край;2007;1419.7;118;40.2
Иркутская область;2007;1145.6;105;38.5
Кемеровская область;2007;1322.8;90;43.6
Новосибирская область ;2007;1244.7;97;23.9
Омская область;2007;943.4;83;19
Томская область;2007;478.8;37;16.1
Дальневосточный федеральный округ;2007;4200.7;334;145.7
Республика Бурятия;2007;398.2;61;9.9
Республика Саха (Якутия);2007;483.7;38;14.2
Забайкальский край;2007;489.8;47;15.3
Камчатский край;2007;177.4;18;7.5
Приморский край;2007;980.2;76;35.4
Хабаровский край ;2007;730.5;41;26.5
Амурская область;2007;437.1;26;24.9
Магаданская область;2007;93.3;6;4.7
Сахалинская область;2007;291;13;4.7
Еврейская автономная область;2007;81.8;8;1.4
Чукотский автономный округ;2007;37.7;1;1.2
Центральный федеральный округ;2008;19033.9;733;254.5
Белгородская область;2008;695.3;30;12.5
Брянская область;2008;608.2;42;9.6
Владимирская область;2008;706.4;45;19.8
Воронежская область;2008;1064.6;61;23.5
Ивановская область;2008;500.5;30;15.5
Калужская область;2008;482.9;26;5.1
Костромская область;2008;324.1;18;6.5
Курская область;2008;586.3;37;8.1
Липецкая область;2008;546.1;31;7
Московская область;2008;2946.9;106;38.8
Орловская область;2008;400.5;24;6.6
Рязанская область;2008;514.2;31;7.9
Смоленская область;2008;487;37;6.2
Тамбовская область;2008;507.1;52;8.4
Тверская область;2008;612;36;9.1
Тульская область;2008;787.5;27;8.8
Ярославская область;2008;671;41;14.2
г. Москва;2008;6593.2;59;46.9
Северо-Западный федеральный округ;2008;6834.9;385;151.3
Республика Карелия;2008;335.7;30;10.9
Республика Коми;2008;468.4;39;13.5
Архангельская область;2008;611.3;46;15.6
в том числе: ;2008;0;0;0
Ненецкий автономный округ;2008;32.8;2;0.6
Архангельская область без автономного округа;2008;578.6;44;15
Вологодская область;2008;611.3;37;14.1
Калининградская область;2008;476.4;46;11.1
Ленинградская область;2008;749.2;58;10.5
Мурманская область;2008;429.7;33;13.3
Новгородская область;2008;315.2;17;4.6
Псковская область;2008;335.6;24;9.6
г. Санкт-Петербург;2008;2502.1;57;48
Южный             федеральный округ;2008;6202;454;109.7
Республика Адыгея;2008;152.8;15;6.6
Республика Калмыкия;2008;115.4;24;5.4
Республика Крым;2008;0;0;0
Краснодарский край;2008;2280.3;125;32.9
Астраханская область;2008;464.2;39;9.8
Волгоградская область;2008;1258.8;108;26.5
Ростовская область;2008;1930.6;143;28.6
г. Севастополь;2008;0;0;0
Северо-Кавказский        федеральный округ;2008;3233;671;468
Республика Дагестан;2008;941.4;175;47.6
Республика Ингушетия;2008;66.3;78;48.8
Кабардино-Балкарская Республика;2008;311.2;68;24.8
Карачаево-Черкесская Республика;2008;168.7;34;5.3
Республика Северная Осетия - Алания;2008;296;35;11.1
Чеченская Республика;2008;237.9;172;298.9
Ставропольский край;2008;1211.5;108;31.5
Приволжский федеральный округ;2008;14606.7;988;243.3
Республика Башкортостан;2008;1846.3;105;32.1
Республика Марий Эл;2008;327.7;34;3.8
Республика Мордовия;2008;393.9;13;5.3
Республика Татарстан;2008;1814;96;28.4
Удмуртская Республика;2008;768.9;65;15.6
Чувашская Республика;2008;594.1;54;12.8
Пермский край;2008;1328.6;118;40.9
Кировская область;2008;678.6;55;13.6
Нижегородская область ;2008;1765.9;101;18.9
Оренбургская область;2008;1017;69;9.5
Пензенская область;2008;673.1;54;6.8
Самарская область;2008;1591.1;75;25
Саратовская область;2008;1202.6;100;19.6
Ульяновская область;2008;605.1;49;11.1
Уральский         федеральный округ;2008;6089;363;125.1
Курганская область;2008;403.2;42;13.8
Свердловская область ;2008;2093.2;113;47
Тюменская область;2008;1913.3;129;26.9
в том числе:;2008;0;0;0
Ханты-Мансийский автономный округ - Югра;2008;901.9;70;13.4
Ямало-Ненецкий автономный округ;2008;364.6;19;5.1
Тюменская область  без автономных округов;2008;646.9;39;8.4
Челябинская область;2008;1679.3;79;37.3
Сибирский        федеральный округ;2008;8171.9;690;241.5
Республика Алтай;2008;95.1;12;3.4
Республика Тыва;2008;105;23;9.5
Республика Хакасия;2008;243.3;19;6.8
Алтайский край;2008;1102.7;105;47
Красноярский край;2008;1437.5;96;39.3
Иркутская область;2008;1166.5;110;34.2
Кемеровская область;2008;1321.5;95;41.6
Новосибирская область ;2008;1271.2;105;26.8
Омская область;2008;947.5;83;20
Томская область;2008;481.8;43;12.9
Дальневосточный федеральный округ;2008;4225.2;412;140
Республика Бурятия;2008;413.1;59;9.9
Республика Саха (Якутия);2008;487;46;13
Забайкальский край;2008;493.2;81;18.4
Камчатский край;2008;176.5;17;6.1
Приморский край;2008;977.7;82;33.8
Хабаровский край ;2008;729.1;65;24.6
Амурская область;2008;443.4;23;22.8
Магаданская область;2008;92;7;3.8
Сахалинская область;2008;293.2;22;4.8
Еврейская автономная область;2008;82.1;8;1.8
Чукотский автономный округ;2008;37.9;2;1
Центральный федеральный округ;2009;18673.1;1193;397.2
Белгородская область;2009;693;37;15
Брянская область;2009;582.1;68;17.4
Владимирская область;2009;703.4;66;26.8
Воронежская область;2009;1055.2;101;30.5
Ивановская область;2009;490.8;59;24.4
Калужская область;2009;480.9;35;8.6
Костромская область;2009;317.2;30;8.3
Курская область;2009;580.8;51;11.4
Липецкая область;2009;545.7;35;6.5
Московская область;2009;2879.8;187;68
Орловская область;2009;388.4;39;8.6
Рязанская область;2009;496.9;52;10.6
Смоленская область;2009;494.6;44;11.6
Тамбовская область;2009;500.6;50;9.9
Тверская область;2009;596.4;58;16.6
Тульская область;2009;762.9;49;17.1
Ярославская область;2009;656.2;55;30.8
г. Москва;2009;6448.1;176;75.2
Северо-Западный федеральный округ;2009;6768.7;529;226.8
Республика Карелия;2009;322.2;34;15.4
Республика Коми;2009;463.2;59;18.9
Архангельская область;2009;609.1;48;20.5
в том числе: ;2009;0;0;0
Ненецкий автономный округ;2009;31.8;2;0.9
Архангельская область без автономного округа;2009;577.4;46;19.6
Вологодская область;2009;605;52;26.6
Калининградская область;2009;479;56;19.4
Ленинградская область;2009;744.9;67;12.2
Мурманская область;2009;426.2;37;19.2
Новгородская область;2009;313.4;21;8.4
Псковская область;2009;322.6;39;11.8
г. Санкт-Петербург;2009;2483.1;117;74.3
Южный             федеральный округ;2009;6140.1;605;141.7
Республика Адыгея;2009;152.8;15;5.3
Республика Калмыкия;2009;115;25;5.6
Республика Крым;2009;0;0;0
Краснодарский край;2009;2270.3;190;40.1
Астраханская область;2009;446.3;52;13.6
Волгоградская область;2009;1254.2;138;38.6
Ростовская область;2009;1901.5;184;38.3
г. Севастополь;2009;0;0;0
Северо-Кавказский        федеральный округ;2009;3251.9;701;471.5
Республика Дагестан;2009;942;171;45.9
Республика Ингушетия;2009;65.6;95;53.8
Кабардино-Балкарская Республика;2009;310.1;56;19.7
Карачаево-Черкесская Республика;2009;170.2;28;6.4
Республика Северная Осетия - Алания;2009;298.1;39;13
Чеченская Республика;2009;256.2;194;297.1
Ставропольский край;2009;1209.8;117;35.6
Приволжский федеральный округ;2009;14330.1;1366;429.3
Республика Башкортостан;2009;1782.4;190;45.4
Республика Марий Эл;2009;322.3;42;7.3
Республика Мордовия;2009;387.1;24;8.2
Республика Татарстан;2009;1800.5;168;57.9
Удмуртская Республика;2009;758.6;75;30.1
Чувашская Республика;2009;577.1;78;23.3
Пермский край;2009;1304.9;141;55.7
Кировская область;2009;657;81;28.8
Нижегородская область ;2009;1722.2;135;39.3
Оренбургская область;2009;1022.6;93;17.8
Пензенская область;2009;667.7;56;10.7
Самарская область;2009;1525;107;60.6
Саратовская область;2009;1204.7;115;29.5
Ульяновская область;2009;598;60;14.7
Уральский         федеральный округ;2009;6019;527;217.3
Курганская область;2009;396.3;58;16.6
Свердловская область ;2009;2060.4;191;99.7
Тюменская область;2009;1929.7;128;31.7
в том числе:;2009;0;0;0
Ханты-Мансийский автономный округ - Югра;2009;897.4;62;17.9
Ямало-Ненецкий автономный округ;2009;368.5;14;6.4
Тюменская область  без автономных округов;2009;663.8;52;7.4
Челябинская область;2009;1632.5;149;69.3
Сибирский        федеральный округ;2009;8047.3;915;305.2
Республика Алтай;2009;94.3;14;3.7
Республика Тыва;2009;104.5;27;8.2
Республика Хакасия;2009;240.4;24;7.7
Алтайский край;2009;1071.4;152;58.9
Красноярский край;2009;1435.8;145;45.8
Иркутская область;2009;1144.2;138;48.1
Кемеровская область;2009;1277.6;139;59.6
Новосибирская область ;2009;1255.9;141;31.7
Омская область;2009;942.8;89;22.4
Томская область;2009;480.3;47;19.3
Дальневосточный федеральный округ;2009;4187.6;448;159.8
Республика Бурятия;2009;401.9;63;11.8
Республика Саха (Якутия);2009;485.8;44;13.8
Забайкальский край;2009;490.8;66;21.2
Камчатский край;2009;178;14;7.1
Приморский край;2009;977.8;104;40.4
Хабаровский край ;2009;715.9;76;34.2
Амурская область;2009;441.1;37;19.1
Магаданская область;2009;90.2;7;4.1
Сахалинская область;2009;288.3;29;5.3
Еврейская автономная область;2009;80.9;7;1.7
Чукотский автономный округ;2009;36.9;2;1.1
Центральный федеральный округ;2010;20782.3;961;291.4
Белгородская область;2010;749.8;41;12
Брянская область;2010;580.9;52;12.3
Владимирская область;2010;670.5;47;18.5
Воронежская область;2010;1158.9;87;21.3
Ивановская область;2010;467.8;42;17.6
Калужская область;2010;516.8;38;6.5
Костромская область;2010;327.5;21;5.9
Курская область;2010;546.4;48;10.1
Липецкая область;2010;594.5;28;5.2
Московская область;2010;3341.4;131;41.4
Орловская область;2010;342.5;35;7
Рязанская область;2010;529;48;8.9
Смоленская область;2010;484.6;41;9.5
Тамбовская область;2010;504;43;8.1
Тверская область;2010;676.8;47;12
Тульская область;2010;770;47;13.2
Ярославская область;2010;649.1;51;20.4
г. Москва;2010;7871.8;115;61.7
Северо-Западный федеральный округ;2010;7286.3;453;155.9
Республика Карелия;2010;310.7;32;10.8
Республика Коми;2010;472.6;52;14.1
Архангельская область;2010;575.6;46;17.6
в том числе: ;2010;0;0;0
Ненецкий автономный округ;2010;32.5;2;0.9
Архангельская область без автономного округа;2010;543.1;44;16.7
Вологодская область;2010;608.6;51;16.9
Калининградская область;2010;484.5;52;12.5
Ленинградская область;2010;837.2;50;7.9
Мурманская область;2010;417.9;42;15
Новгородская область;2010;315;19;5.6
Псковская область;2010;310.5;34;8
г. Санкт-Петербург;2010;2953.7;74;47.6
Южный             федеральный округ;2010;6478.6;530;116.1
Республика Адыгея;2010;156.5;19;4.6
Республика Калмыкия;2010;115.1;22;4.7
Республика Крым;2010;0;0;0
Краснодарский край;2010;2512.5;173;37
Астраханская область;2010;493.6;43;13
Волгоградская область;2010;1243;105;27.5
Ростовская область;2010;1957.9;167;29.3
г. Севастополь;2010;0;0;0
Северо-Кавказский        федеральный округ;2010;3650.4;719;381.9
Республика Дагестан;2010;1028.1;189;40.4
Республика Ингушетия;2010;134.1;89;50.7
Кабардино-Балкарская Республика;2010;362.6;48;12
Карачаево-Черкесская Республика;2010;179.1;24;5.7
Республика Северная Осетия - Алания;2010;301.7;37;12.9
Чеченская Республика;2010;408.5;238;232.2
Ставропольский край;2010;1236.4;94;28
Приволжский федеральный округ;2010;14579.5;1198;296.3
Республика Башкортостан;2010;1825.1;182;40.4
Республика Марий Эл;2010;319.4;39;6.2
Республика Мордовия;2010;426.3;25;7.2
Республика Татарстан;2010;1949.3;126;38.5
Удмуртская Республика;2010;761.7;78;18.8
Чувашская Республика;2010;597.9;63;15.8
Пермский край;2010;1248.5;117;36.2
Кировская область;2010;624.9;64;19.9
Нижегородская область ;2010;1728.1;138;24
Оренбургская область;2010;960.4;77;14.3
Пензенская область;2010;638.9;44;9.1
Самарская область;2010;1740.5;101;36.6
Саратовская область;2010;1155.7;86;20
Ульяновская область;2010;602.6;59;9.2
Уральский         федеральный округ;2010;6458.3;519;138.7
Курганская область;2010;383.1;55;13.2
Свердловская область ;2010;2174.7;194;58.2
Тюменская область;2010;2170;130;22.4
в том числе:;2010;0;0;0
Ханты-Мансийский автономный округ - Югра;2010;1023.5;69;11.4
Ямало-Ненецкий автономный округ;2010;387.7;13;5.5
Тюменская область  без автономных округов;2010;758.8;48;5.5
Челябинская область;2010;1730.5;140;45
Сибирский        федеральный округ;2010;8121.2;762;236.7
Республика Алтай;2010;88;12;3.2
Республика Тыва;2010;101.7;28;7.2
Республика Хакасия;2010;253.2;24;5.8
Алтайский край;2010;1093.4;111;43.7
Красноярский край;2010;1437.9;97;36.8
Иркутская область;2010;1155.1;127;37.2
Кемеровская область;2010;1284.3;126;41.7
Новосибирская область ;2010;1287.9;110;28.3
Омская область;2010;938.5;85;18.6
Томская область;2010;481.2;42;14.1
Дальневосточный федеральный округ;2010;4136.5;403;123.7
Республика Бурятия;2010;401;49;9.1
Республика Саха (Якутия);2010;482.2;44;12.2
Забайкальский край;2010;488.2;59;17.4
Камчатский край;2010;169.5;13;5.9
