Субъекты РФ;Год;Доходы консолидированных бюджетов субъектов российской федерации (млн. руб.);Расходы консолидированных бюджетов субъектов российской федерации (млн. руб.)
Хабаровский край;2016;101794.6;106429.5
Амурская область;2016;57803.7;54292.8
Магаданская область;2016;32919.6;33755.5
Сахалинская область;2016;156012.4;159270.4
Еврейская автономная    область;2016;11352.2;12090.2
Чукотский автономный округ;2016;32964;30162.5
Центральный федеральный округ;2017;0;0
Белгородская область;2017;96800.4;95658.4
Брянская область;2017;61907.1;59857.3
Владимирская область;2017;65090.4;64277.8
Воронежская область;2017;114195;108403.9
Ивановская область;2017;39173.8;39831.5
Калужская область;2017;68934.3;67933.5
Костромская область;2017;28845;31554.2
Курская область;2017;60605.4;59647.9
Липецкая область;2017;65116.7;63423.4
Московская область;2017;604970.2;619658
Орловская область;2017;33969.8;37156.9
Рязанская область;2017;59398.8;55175.5
Смоленская область;2017;45305.2;45078.1
Тамбовская область;2017;48854.6;51282.2
Тверская область;2017;67915.1;66077.9
Тульская область;2017;82921.9;87648.8
Ярославская область;2017;70416.4;73310.6
г. Москва;2017;2107014.7;2105168
Северо-Западный федеральный округ;2017;0;0
Республика Карелия;2017;41108.6;43592.7
Республика Коми;2017;82654.5;79849
Архангельская область;2017;83409.2;84354.1
Вологодская область;2017;72109.1;65195.2
Калининградская область;2017;111017;113886.2
Ленинградская область;2017;133890.6;142545.9
Мурманская область;2017;72725;73328.1
Новгородская область;2017;34967.6;34996.4
Псковская область;2017;31217.2;32873.4
г. Санкт-Петербург;2017;522151.7;565117.7
Ненецкий автономный округ;2017;19958.5;19247.2
Южный               федеральный округ;2017;0;0
Республика Адыгея;2017;19056.2;19764.8
Республика Калмыкия;2017;12916.5;13513.7
Республика Крым;2017;160400.1;161718.1
Краснодарский край;2017;296894.3;279425.2
Астраханская область;2017;43789.3;41910.3
Волгоградская область;2017;107743.5;109226
Ростовская область;2017;192154.6;190689.2
г. Севастополь;2017;30991.1;33549.5
Северо-Кавказский      федеральный округ;2017;0;0
Республика Дагестан;2017;107278.3;103582.3
Республика Ингушетия;2017;23000.6;22883.4
Кабардино-Балкарская Республика;2017;29390.4;32087.4
Карачаево-Черкесская Республика;2017;24039.2;23992.1
Республика Северная   Осетия – Алания ;2017;27733.9;28119.5
Чеченская Республика;2017;77477.4;77116.6
Ставропольский край;2017;113885.4;113502.6
Приволжский    федеральный округ;2017;0;0
Республика Башкортостан;2017;201001.2;189307
Республика Марий Эл;2017;30692.8;30548.2
Республика Мордовия;2017;39853.4;49915.4
Республика Татарстан;2017;287664.1;274013.7
Удмуртская Республика;2017;78505.8;78317
Чувашская Республика;2017;51497.2;51997.8
Пермский край;2017;145353.1;144834.1
Кировская область;2017;58268.9;58347.7
Нижегородская область;2017;175161.4;178839.5
Оренбургская область;2017;91871.3;92813.8
Пензенская область;2017;56326.2;56729.8
Самарская область;2017;181960.1;182254.6
Саратовская область;2017;99722.3;98987.5
Ульяновская область;2017;58438.8;61135.8
Уральский        федеральный округ;2017;0;0
Курганская область;2017;39783.4;42036.5
Свердловская область;2017;262834.9;264333.4
Тюменская область;2017;158955.1;159635.8
Челябинская область;2017;177969.5;170696.2
Ханты-Мансийский      автономный округ – Югра;2017;229127.9;246432.8
Ямало-Ненецкий автономный округ;2017;184358.4;169114.9
Сибирский     федеральный округ;2017;0;0
Республика Алтай;2017;17578.4;17148.6
Республика Тыва;2017;24965.4;24548.4
Республика Хакасия;2017;29184.4;31219.9
Алтайский край;2017;102067.1;99772.1
Красноярский край;2017;245524;251313.6
Иркутская область;2017;164435.2;165330.6
Кемеровская область;2017;166917.9;146058.3
Новосибирская область;2017;156083.1;156025.6
Омская область;2017;87782.7;89698.4
Томская область;2017;65123.1;71094.5
Дальневосточный федеральный округ;2017;0;0
Республика Бурятия;2017;56642.3;59343.1
Республика Саха (Якутия);2017;203265.8;211708
Забайкальский край;2017;58800.3;60838.5
Камчатский край;2017;75773.4;74953.4
Приморский край;2017;123776.2;119316
Хабаровский край;2017;109972.6;116313.4
Амурская область;2017;58098.9;57650.5
Магаданская область;2017;35065.8;36622.1
Сахалинская область;2017;130111;137258.6
Еврейская автономная    область;2017;10624;11386.2
Чукотский автономный округ;2017;30156;31543.9
Центральный федеральный округ;2018;0;0
Белгородская область;2018;113496.1;105796.6
Брянская область;2018;66382.9;64162.5
Владимирская область;2018;71819.3;70882.8
Воронежская область;2018;135777.4;123568.4
Ивановская область;2018;46427;43861.4
Калужская область;2018;85260.2;73733.6
Костромская область;2018;35879.9;34675.9
Курская область;2018;66101.3;64834.3
Липецкая область;2018;75267.3;69357.8
Московская область;2018;671792.8;703478.1
Орловская область;2018;39351.5;39145.2
Рязанская область;2018;63931;62026.5
Смоленская область;2018;49591;47045.6
Тамбовская область;2018;52692.4;53401
Тверская область;2018;72754.8;66686.8
Тульская область;2018;92181.3;89149.7
Ярославская область;2018;78778.9;80841.6
г. Москва;2018;2386856;2325318.1
Северо-Западный федеральный округ;2018;0;0
Республика Карелия;2018;54378;50243.3
Республика Коми;2018;95970.2;85530.6
Архангельская область;2018;93151;89932.2
Вологодская область;2018;89451.4;74586
Калининградская область;2018;126339.7;123973.2
Ленинградская область;2018;168793.4;154142.6
Мурманская область;2018;81971.4;82308.7
Новгородская область;2018;37605.2;37004.6
Псковская область;2018;36306.6;36160.3
г. Санкт-Петербург;2018;589468;579700.7
Ненецкий автономный округ;2018;23252.3;21423.7
Южный               федеральный округ;2018;0;0
Республика Адыгея;2018;23547.5;23281.5
Республика Калмыкия;2018;15185.4;15294.1
Республика Крым;2018;175509.5;175470.5
Краснодарский край;2018;316238.7;300332.7
Астраханская область;2018;55981.8;48789.9
Волгоградская область;2018;121078.3;119090.3
Ростовская область;2018;217310.1;209418.5
г. Севастополь;2018;39536.4;35713.5
Северо-Кавказский      федеральный округ;2018;0;0
Республика Дагестан;2018;119874.1;107949.5
Республика Ингушетия;2018;24820;24513.6
Кабардино-Балкарская Республика;2018;35996.6;34130.7
Карачаево-Черкесская Республика;2018;26504.9;26439.1
Республика Северная   Осетия – Алания ;2018;32997.3;32577.2
Чеченская Республика;2018;80806.5;80510.8
Ставропольский край;2018;127085;120240.4
Приволжский    федеральный округ;2018;0;0
Республика Башкортостан;2018;239885.6;215269.3
Республика Марий Эл;2018;30821.6;30481.7
Республика Мордовия;2018;41149.4;48196.3
Республика Татарстан;2018;324919.3;319388.5
Удмуртская Республика;2018;85440.6;83726.4
Чувашская Республика;2018;57790.5;55807.7
Пермский край;2018;157250.5;153370.9
Кировская область;2018;64349.1;62707.3
Нижегородская область;2018;195412.9;186203.2
Оренбургская область;2018;108900.7;96608.3
Пензенская область;2018;64808.8;64637.6
Самарская область;2018;198965.5;182451.6
Саратовская область;2018;110567.1;105241.6
Ульяновская область;2018;65613.2;64948.9
Уральский        федеральный округ;2018;0;0
Курганская область;2018;45596.7;45927.2
Свердловская область;2018;302088.3;292025.5
Тюменская область;2018;228084;191304.4
Челябинская область;2018;206323.1;193731.3
Ханты-Мансийский      автономный округ – Югра;2018;324663.1;283393.6
Ямало-Ненецкий автономный округ;2018;235177.8;189380.8
Сибирский     федеральный округ;2018;0;0
Республика Алтай;2018;20762.9;20971.7
Республика Тыва;2018;29803.8;29056.5
Республика Хакасия;2018;40787;38244.2
Алтайский край;2018;119763.2;110974.5
Красноярский край;2018;277015.2;278203.9
Иркутская область;2018;193634.3;180043.8
Кемеровская область;2018;203676.9;167988.4
Новосибирская область;2018;181192.8;174194.4
Омская область;2018;102470.6;99832.4
Томская область;2018;74231.2;74656.9
Дальневосточный федеральный округ;2018;0;0
Республика Бурятия;2018;64778.4;65157.5
Республика Саха (Якутия);2018;248328.7;235790.7
Забайкальский край;2018;70790.9;70424
Камчатский край;2018;87791.5;86208.7
Приморский край;2018;142373;125689.5
Хабаровский край;2018;122245;132509.2
Амурская область;2018;65283.3;64772.3
Магаданская область;2018;37789.3;38895.7
Сахалинская область;2018;156810;165315.4
Еврейская автономная    область;2018;11677.7;12208
Чукотский автономный округ;2018;36268.5;35834.9
Центральный федеральный округ;2019;0;0
Белгородская область;2019;123221.5112;124172.4982
Брянская область;2019;74255.374;73285.43475
Владимирская область;2019;78334.78974;77963.41249
Воронежская область;2019;142042.4128;140467.5954
Ивановская область;2019;51289.3436;49764.47041
Калужская область;2019;84430.68365;83236.55732
Костромская область;2019;41926.12043;40014.12332
Курская область;2019;76576.02015;75430.21023
Липецкая область;2019;75941.91855;79813.33101
Московская область;2019;739320.899;813727.0651
Орловская область;2019;41378.3643;41477.77792
Рязанская область;2019;71127.3497;70702.54954
Смоленская область;2019;53997.70487;53476.14725
Тамбовская область;2019;54575.52442;57294.66368
Тверская область;2019;80161.78985;76369.94384
Тульская область;2019;100697.6186;102234.4065
Ярославская область;2019;82011.38108;82756.17403
г. Москва;2019;2641504.609;2694799.037
Северо-Западный федеральный округ;2019;0;0
Республика Карелия;2019;58543.52753;57556.21436
Республика Коми;2019;99128.44138;95462.39916
Архангельская область;2019;107888.5937;103997.1357
Вологодская область;2019;105340.9218;95985.34079
Калининградская область;2019;131476.6691;130604.2168
Ленинградская область;2019;176311.0392;174599.9234
Мурманская область;2019;101783.9061;98397.4994
Новгородская область;2019;42453.1977;42731.66771
Псковская область;2019;41054.98668;41544.62568
г. Санкт-Петербург;2019;649005.9524;659812.0745
Ненецкий автономный округ;2019;24500.46063;24259.3372
Южный               федеральный округ;2019;0;0
Республика Адыгея;2019;28275.96088;28723.74316
Республика Калмыкия;2019;18113.97225;18521.36523
Республика Крым;2019;192650.3751;192370.1426
Краснодарский край;2019;366573.1179;335042.1912
Астраханская область;2019;59107.93548;54195.40643
Волгоградская область;2019;131317.2161;129579.6166
Ростовская область;2019;221356.1389;226328.8149
г. Севастополь;2019;38440.77127;40752.64367
Северо-Кавказский      федеральный округ;2019;0;0
Республика Дагестан;2019;134786.173;129598.0895
Республика Ингушетия;2019;26715.04829;26062.08725
Кабардино-Балкарская Республика;2019;41206.63171;38646.84038
Карачаево-Черкесская Республика;2019;30340.86629;29996.8332
Республика Северная   Осетия – Алания ;2019;38510.06797;37517.08599
Чеченская Республика;2019;97634.93082;97846.2654
Ставропольский край;2019;138820.8741;138735.4976
Приволжский    федеральный округ;2019;0;0
Республика Башкортостан;2019;239425.1224;255737.9729
Республика Марий Эл;2019;36792.49008;35048.36065
Республика Мордовия;2019;46741.29714;45410.09294
Республика Татарстан;2019;337044.286;322139.0139
Удмуртская Республика;2019;94416.26688;96047.20306
Чувашская Республика;2019;66684.88476;61814.27485
Пермский край;2019;183945.1566;174502.366
Кировская область;2019;72111.43814;70411.36439
Нижегородская область;2019;214459.8945;215247.0505
Оренбургская область;2019;118742.0817;117638.666
Пензенская область;2019;67584.42775;68608.28464
Самарская область;2019;213837.0681;206426.0055
Саратовская область;2019;121262.0297;122098.4497
Ульяновская область;2019;69374.06121;71895.11515
Уральский        федеральный округ;2019;0;0
Курганская область;2019;54445.56584;54330.51942
Свердловская область;2019;313423.4842;327615.4641
Тюменская область;2019;241192.3689;222553.7883
Челябинская область;2019;215264.243;216451.765
Ханты-Мансийский      автономный округ – Югра;2019;318634.6552;311478.9624
Ямало-Ненецкий автономный округ;2019;257244.347;225570.8182
Сибирский     федеральный округ;2019;0;0
Республика Алтай;2019;25097.84144;24421.47612
Республика Тыва;2019;33703.57978;34037.72077
Республика Хакасия;2019;37092.83381;35981.51118
Алтайский край;2019;126456.6494;126016.0915
Красноярский край;2019;327846.2639;289759.5112
Иркутская область;2019;227142.0982;240179.8347
Кемеровская область;2019;194173.3713;196945.3264
Новосибирская область;2019;196645.307;205006.8716
Омская область;2019;111954.5528;111641.0751
Томская область;2019;79919.30705;83406.47271
Дальневосточный федеральный округ;2019;0;0
Республика Бурятия;2019;80089.95636;80573.89208
Республика Саха (Якутия);2019;249010.3463;251738.5391
Забайкальский край;2019;89703.72234;87791.36714
Камчатский край;2019;92765.86916;94216.54402
Приморский край;2019;162901.1397;160717.8343
Хабаровский край;2019;132728.8833;136737.5081
Амурская область;2019;83459.15328;78120.78708
Магаданская область;2019;43496.55313;43595.54857
Сахалинская область;2019;205332.2752;204009.7446
Еврейская автономная    область;2019;14999.6605;15110.13815
Чукотский автономный округ;2019;56648.86141;56303.34019
Центральный федеральный округ;2020;0;0
Белгородская область;2020;133462.8519;133220.4959
Брянская область;2020;85935.00705;84745.97889
Владимирская область;2020;90131.84109;88019.72222
Воронежская область;2020;168139.4873;159607.322
Ивановская область;2020;66837.97337;64544.96566
Калужская область;2020;93722.43193;98971.7381
Костромская область;2020;46991.5421;46270.31846
Курская область;2020;83635.06887;83193.70145
Липецкая область;2020;85868.9441;86281.22414
Московская область;2020;805479.821;893302.1208
Орловская область;2020;48823.65231;50412.18973
Рязанская область;2020;78388.89188;79622.72187
Смоленская область;2020;64383.37668;64824.12849
Тамбовская область;2020;64058.82527;64248.74909
Тверская область;2020;93811.48995;91046.45848
Тульская область;2020;112533.8903;114954.0047
Ярославская область;2020;96012.47222;97822.82524
г. Москва;2020;2880723.712;3016605.359
Северо-Западный федеральный округ;2020;0;0
Республика Карелия;2020;68182.68757;75012.48082
Республика Коми;2020;102417.1094;114635.5613
Архангельская область;2020;113301.3926;128415.2569
Вологодская область;2020;114790.6841;114884.0549
Калининградская область;2020;140106.2915;139959.9195
Ленинградская область;2020;193286.6873;205556.5573
Мурманская область;2020;108196.6428;106534.3954
Новгородская область;2020;48984.47776;51944.71399
Псковская область;2020;48614.81849;51783.02425
г. Санкт-Петербург;2020;679519.0877;717758.8206
Ненецкий автономный округ;2020;23983.13425;25413.92819
Южный               федеральный округ;2020;0;0
Республика Адыгея;2020;35309.18454;36098.40377
Республика Калмыкия;2020;22721.46363;24739.18754
Республика Крым;2020;225018.537;223555.3553
Краснодарский край;2020;387084.1666;388021.9451
Астраханская область;2020;64462.6387;66273.54483
Волгоградская область;2020;152467.7658;155564.521
Ростовская область;2020;257191.4648;261519.5129
г. Севастополь;2020;59378.22786;56606.25696
Северо-Кавказский      федеральный округ;2020;0;0
Республика Дагестан;2020;181313.008;179584.4511
Республика Ингушетия;2020;35791.03918;36222.83253
Кабардино-Балкарская Республика;2020;55722.58918;53644.96649
Карачаево-Черкесская Республика;2020;34587.58268;34476.09285
Республика Северная   Осетия – Алания ;2020;48855.02173;48314.48518
Чеченская Республика;2020;127102.6323;128239.3727
Ставропольский край;2020;162121.0499;161838.6303
Приволжский    федеральный округ;2020;0;0
Республика Башкортостан;2020;261542.816;298887.9881
Республика Марий Эл;2020;47346.29652;47217.89431
Республика Мордовия;2020;57433.3782;55691.34556
Республика Татарстан;2020;341216.7743;363185.0674
Удмуртская Республика;2020;97609.98667;112939.939
Чувашская Республика;2020;76614.10003;76066.47163
Пермский край;2020;189436.2983;211949.2324
Кировская область;2020;82180.07679;81613.402
Нижегородская область;2020;250380.399;261592.8911
Оренбургская область;2020;131218.24;133396.2291
Пензенская область;2020;81380.55946;81673.00923
Самарская область;2020;248778.3274;246385.3287
Саратовская область;2020;146440.7668;149913.1092
Ульяновская область;2020;81131.15811;90203.20562
Уральский        федеральный округ;2020;0;0
Курганская область;2020;60214.13748;61090.13687
Свердловская область;2020;349047.0986;378546.7552
Тюменская область;2020;192132.2894;229734.5275
Челябинская область;2020;239619.9432;267944.0728
Ханты-Мансийский      автономный округ – Югра;2020;324546.9763;334672.0862
Ямало-Ненецкий автономный округ;2020;226720.8091;259191.9559
Сибирский     федеральный округ;2020;0;0
Республика Алтай;2020;29542.6019;30146.88132
Республика Тыва;2020;48260.49398;48577.2595
Республика Хакасия;2020;43196.3408;48339.74845
Алтайский край;2020;154273.0899;148325.5414
Красноярский край;2020;337705.5104;332713.8558
Иркутская область;2020;241412.7146;257782.7332
Кемеровская область;2020;201174.0551;242866.1739
Новосибирская область;2020;232151.9241;236515.3433
Омская область;2020;132540.5498;134125.0143
Томская область;2020;88212.2065;98472.6074
Дальневосточный федеральный округ;2020;0;0
Республика Бурятия;2020;94718.35341;96655.10519
Республика Саха (Якутия);2020;275173.8451;276561.1965
Забайкальский край;2020;96624.49969;100270.9145
Камчатский край;2020;105740.0384;107335.6086
Приморский край;2020;173978.7424;188032.5542
Хабаровский край;2020;150747.8337;154885.5049
Амурская область;2020;105151.2337;103044.1952
Магаданская область;2020;53118.58136;52440.91826
Сахалинская область;2020;184002.8481;200517.3723
Еврейская автономная    область;2020;21032.42045;20381.65307
Чукотский автономный округ;2020;54335.43114;49872.86809
Центральный федеральный округ;2021;0;0
Белгородская область;2021;184230.802;151300.72
Брянская область;2021;94310.85174;90413.35875
Владимирская область;2021;109213.1729;98402.47403
Воронежская область;2021;190968.5484;168901.8826
Ивановская область;2021;71459.39342;65848.11625
Калужская область;2021;101164.8072;98963.66552
Костромская область;2021;53943.14966;51268.972
Курская область;2021;112884.6721;101419.3845
Липецкая область;2021;127729.9555;91375.13471
Московская область;2021;927291.9676;906496.4217
Орловская область;2021;56301.15616;52224.32294
Рязанская область;2021;92085.60904;89814.50658
Смоленская область;2021;71790.88861;64036.82685
Тамбовская область;2021;71152.21497;67041.61979
Тверская область;2021;108471.8354;104543.4303
Тульская область;2021;131264.5709;126680.1871
Ярославская область;2021;109227.1874;104980.0419
г. Москва;2021;3349411.148;3458708.919
Северо-Западный федеральный округ;2021;0;0
Республика Карелия;2021;80993.6191;77484.40853
Республика Коми;2021;118579.1586;115897.947
Архангельская область;2021;134048.0084;138354.5264
Вологодская область;2021;159397.388;125197.1479
Калининградская область;2021;141575.441;135802.9617
Ленинградская область;2021;208061.4262;212094.0702
Мурманская область;2021;141990.1776;123731.4416
Новгородская область;2021;62645.26946;55261.85388
Псковская область;2021;55096.99357;54559.13556
г. Санкт-Петербург;2021;846022.6598;799694.8285
Ненецкий автономный округ;2021;31124.25545;28620.44398
Южный               федеральный округ;2021;0;0
Республика Адыгея;2021;40473.65114;38229.06806
Республика Калмыкия;2021;23496.19782;24803.44027
Республика Крым;2021;218129.7105;223477.2132
Краснодарский край;2021;452626.8485;413257.2677
Астраханская область;2021;76267.66399;73148.17983
Волгоградская область;2021;165082.9243;166620.5264
Ростовская область;2021;299339.8737;291880.212
г. Севастополь;2021;63672.16986;66062.31435
Северо-Кавказский      федеральный округ;2021;0;0
Республика Дагестан;2021;185899.9284;181059.9375
Республика Ингушетия;2021;39571.19162;39551.92396
Кабардино-Балкарская Республика;2021;57219.11223;55647.01196
Карачаево-Черкесская Республика;2021;38918.86248;37923.56398
Республика Северная   Осетия – Алания ;2021;51424.72739;50186.40146
Чеченская Республика;2021;138140.3829;140212.9944
Ставропольский край;2021;184894.9897;171309.4999
Приволжский    федеральный округ;2021;0;0
Республика Башкортостан;2021;290224.4291;299013.2481
Республика Марий Эл;2021;55162.11408;51380.43698
Республика Мордовия;2021;66107.33723;62160.94722
Республика Татарстан;2021;410942.1613;398093.2332
Удмуртская Республика;2021;117721.3214;121804.3224
Чувашская Республика;2021;85336.67869;85185.22777
Пермский край;2021;249383.8336;221755.6764
Кировская область;2021;98046.31715;91051.03337
Нижегородская область;2021;288163.6776;283670.322
Оренбургская область;2021;161941.8369;144285.2324
Пензенская область;2021;88691.43898;83918.07009
Самарская область;2021;306133.6208;278378.5464
Саратовская область;2021;168373.634;164985.8672
Ульяновская область;2021;92648.31702;99840.96331
Уральский        федеральный округ;2021;0;0
Курганская область;2021;67892.47185;67145.65996
Свердловская область;2021;427621.3386;410687.5823
Тюменская область;2021;274276.0032;249909.5348
Челябинская область;2021;320817.2438;272237.1435
Ханты-Мансийский      автономный округ – Югра;2021;336818.4109;339056.9071
Ямало-Ненецкий автономный округ;2021;285091.3247;264700.6069
Сибирский     федеральный округ;2021;0;0
Республика Алтай;2021;31772.92372;31470.34551
Республика Тыва;2021;53498.18726;53853.0992
Республика Хакасия;2021;54124.20565;51992.44689
Алтайский край;2021;173339.3191;164506.3781
Красноярский край;2021;464956.9846;367958.6586
Иркутская область;2021;291266.789;273096.8195
Кемеровская область;2021;278034.7558;243445.8022
Новосибирская область;2021;280434.2065;263362.4767
Омская область;2021;146601.0411;149864.6235
Томская область;2021;99721.77716;104259.5386
Дальневосточный федеральный округ;2021;0;0
Республика Бурятия;2021;105771.9254;106272.9297
Республика Саха (Якутия);2021;358298.5715;319247.216
Забайкальский край;2021;113925.0961;115032.7915
Камчатский край;2021;115358.7244;114653.0249
Приморский край;2021;199109.2252;197526.7529
Хабаровский край;2021;165526.7423;159371.7181
Амурская область;2021;118629.5395;123770.723
Магаданская область;2021;57680.5711;57065.46045
Сахалинская область;2021;187448.1374;185744.5368
Еврейская автономная    область;2021;24315.33508;21832.04043
Чукотский автономный округ;2021;53866.3796;55948.68874
